id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
132068,Great attic+terrace+parking. Beach views. ESS00578,648938,Mikel,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32475,-1.97335,Entire home/apt,343,1,802,2025-06-26,4.68,1,251,74,
142760,Piso en la playa cerca de Gaztelugatxe,693119,Maitane,Vizcaya,Sukarrieta,43.39243,-2.69474,Entire home/apt,184,2,83,2025-05-23,0.49,1,318,8,
225692,"Parte Vieja, San Sebastian",1176053,Julia,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3249415,-1.982063,Entire home/apt,266,2,284,2025-06-21,1.70,1,71,27,ESS00994
309812,Impresionante vivienda céntrica con vistas al mar,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31663,-1.98616,Entire home/apt,306,31,14,2024-09-29,0.09,6,120,4,
309813,Near the beach with terrace Wifi,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31681,-1.98611,Entire home/apt,318,31,17,2024-08-24,0.11,6,76,4,
309828,Impresionante vivienda céntrica con vistas al mar,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31471,-1.98588,Entire home/apt,,31,35,2025-06-28,0.25,6,8,1,_
309830,Gorgeus modern design Wifi Beach,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31679,-1.98794,Private room,,7,109,2025-05-04,0.73,6,9,10,ESFCNT00002000800003019900000000000000000000000000001
337759,Precioso y espacioso piso en el centro de Vitoria,1716368,Martin,Ãlava,Vitoria-Gasteiz,42.84516,-2.66942,Entire home/apt,137,4,3,2024-08-17,0.13,2,41,2,
341691,habitación junto al estadio baño privado  cocina,1733722,Itziar,Vizcaya,Bilbao,43.26144,-2.94905,Private room,,3,52,2025-05-22,0.55,1,16,6,
376823,Elegant villa in San Sebastian area,1716909,Joxeanjel,GuipÃºzcoa,Oiartzun,43.29654,-1.86248,Entire home/apt,503,7,20,2025-05-06,0.34,1,132,6,ESS02917
386301,Xuloss Apartments 1,1933529,Ainhoa,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32533,-1.97173,Entire home/apt,357,2,294,2025-05-30,2.01,2,62,9,ESS03046
393715,Apartamento en Costa Vasca,1968496,Concha,GuipÃºzcoa,Mutriku,43.30743408203125,-2.3866090774536133,Entire home/apt,96,5,124,2025-06-26,0.78,2,127,21,L5500105
424487,Apartamento Gorliz Vida. Ideal para sentirse bien,2110227,Koldo,Vizcaya,Gorliz,43.41346,-2.93647,Entire home/apt,84,3,65,2024-09-07,0.42,1,310,7,
452464,Best of both worlds - mountains/city (3 rooms),1141079,Sally & Rober,Vizcaya,Durango,43.15328,-2.61862,Private room,128,3,88,2025-06-20,0.55,4,255,7,ESHFTU00004800900027774000100000000000000000LBI000153; ESHFTU00004800900027774000200000000000000000LBI000152; ESHFTU00004800900027774000300000000000000000LBI000151
491403,Mountains/city - twin room own bath,1141079,Sally & Rober,Vizcaya,AbadiÃ±o,43.15163,-2.61873,Private room,62,2,70,2025-04-12,0.45,4,268,10,ESHFTU00004800900027774000200000000000000000LBI000152
492561,Mountains and city: Two twin rooms,1141079,Sally & Rober,Vizcaya,AbadiÃ±o,43.15182,-2.61711,Private room,113,2,47,2025-06-08,0.30,4,272,6,ESHFTU00004800900027774000300000000000000000LBI000151; ESHFTU00004800900027774000200000000000000000LBI000152
492633,Mountains and city: Double ensuite,1141079,Sally & Rober,Vizcaya,Durango,43.15237,-2.61921,Private room,62,2,141,2025-05-21,0.90,4,260,8,ESHFTU00004800900027774000100000000000000000LBI000153
512917,Apartment next Ondarreta beach,2524293,Itziar,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31496,-2.00172,Entire home/apt,315,2,48,2025-06-22,0.30,1,93,5,ESS03252
534069,BEST LOCATION OLD TOWN Luxury Loft (+ 31 days),2625306,Luis,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32561,-1.98452,Entire home/apt,413,1,380,2025-06-09,2.40,12,60,2,ESFCNT00002000800025458800000000000000000000000000001
544285,"Columba´s Homestay, 4minutes from the sea",2676178,Columba,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31076,-1.99945,Private room,90,2,516,2025-06-22,3.27,2,187,38,LSS00040
641478,"Amazing Country House by the Butron River, Plencia",3196379,Iñigo,Vizcaya,Gatika,43.38766,-2.91995,Entire home/apt,600,2,41,2025-06-08,0.26,1,272,2,
647882,Apartment in San Sebastian Beach,438751,,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32533,-1.97127,Entire home/apt,179,6,51,2025-06-25,0.35,1,58,7,ESS00610
655110,VACATIONAL HOUSE 1,3297234,Teresa,Vizcaya,Bilbao,43.26067,-2.92954,Entire home/apt,200,27,35,2022-07-31,0.24,5,49,0,EBI  479
655694,vivienda para familia o grupo,3297234,Teresa,Vizcaya,Bilbao,43.25691,-2.93218,Entire home/apt,210,4,21,2024-08-18,0.17,5,39,1,EBI  480
664737,Apartamento en el centro. estancias largas,3358229,Asier,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31859,-1.98032,Entire home/apt,120,30,126,2025-06-17,0.81,3,277,2,ESFCNT200080003723745
702249,Mikelen Etxea - Sierra Salvada - Orduña,3604629,Inmaculada,Ãlava,Amurrio,42.97339,-3.01969,Entire home/apt,196,2,19,2025-03-02,0.13,1,297,2,
711105,Traditional Basque Farm House,3659702,Phil,Ãlava,Arraia-Maeztu,42.74912,-2.44388,Entire home/apt,53,2,291,2025-06-15,2.17,2,286,20,LVI 00039
714318,Bright Penthouse with Terrace and A/C,3678889,Martin Y Emelyn,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3133,-1.98162,Entire home/apt,104,29,104,2025-05-31,0.74,1,62,3,ESS-00250
720913,Cabaña de piedra. playa y naturaleza. 8,3721977,Maria,Vizcaya,Ispaster,43.34788,-2.56852,Entire home/apt,125,2,374,2025-06-24,3.24,11,260,38,L BI 0019
720916,Piso en Lekeitio con opción a garaje,3721977,Maria,Vizcaya,Lekeitio,43.3623,-2.50622,Entire home/apt,116,2,385,2025-06-20,2.50,11,296,33,BI E 0061
740932,Nice Room Guggenheim & Euskalduna & Uni Deusto,3227964,Gabriela,Vizcaya,Bilbao,43.27085,-2.92839,Private room,63,3,156,2025-06-08,1.07,3,75,4,LBI56
748452,alojamiento rural en urdaibai,3931497,Mañuko,Vizcaya,Bermeo,43.39903,-2.75805,Entire home/apt,1000,1,0,,,2,362,0,
796513,Cozy low-budget Piso Kabi fast wifi,3065884,Diana,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31801,-1.95223,Entire home/apt,125,30,31,2024-04-28,0.21,1,240,0,
872681,Apartament Bilbao-Guggenheim with parking+Wi-fi,4604601,Patricia,Vizcaya,Bilbao,43.26785,-2.93253,Entire home/apt,148,2,198,2025-06-26,1.40,1,23,18,Número de licencia turística EBI0045
903053,"VIEWS,  GRAN TERRAza cheerful trendy neighborhood",4827486,Patricia,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32297,-1.97519,Entire home/apt,268,2,467,2024-09-27,3.13,1,329,12,ESFCTU0000200070003410380000000000000000000ESS006917
940996,Bonito piso con vistas y acogedor,5086082,Laura,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31215,-1.98468,Entire home/apt,234,28,255,2025-06-21,1.74,1,209,28,
961100,Sunny Penthouse with big terrace in downtown SS.,5096546,Gustavo,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32436,-1.98279,Entire home/apt,261,2,504,2025-06-13,3.46,1,276,23,ESFCTU000020008000360418000000000000000000000ESS05662
985201,Modern studio in the Basque Capital - Non smoking,1329868,Yolanda,Ãlava,Vitoria-Gasteiz,42.84642,-2.66912,Entire home/apt,67,2,536,2025-06-08,3.59,1,99,36,LVI-0002
