id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23163,Residence Karolina - KAROL12,5282,Klara,,Praha 1,50.08229,14.41552,Entire home/apt,,1,31,2024-06-15,0.17,71,0,0,
23169,Residence Masna - Masna302,5282,Klara,,Praha 1,50.0883,14.42272,Entire home/apt,,1,123,2025-06-04,0.67,71,23,3,
26755,Central Prague Old Town Top Floor,113902,Daniel+Bea,,Praha 1,50.08729,14.43179,Entire home/apt,3379,3,425,2025-06-02,3.46,3,81,55,
30762,Residence Rybna - Rybna23,5282,Klara,,Praha 1,50.08821,14.42623,Entire home/apt,,1,17,2025-05-06,0.10,71,35,1,
42514,"""NEWLY FURNISHED"" 1BR near Pachtuv Palace,Old Town",185641,Victoria,,Praha 1,50.08228,14.41345,Entire home/apt,3767,7,333,2023-04-30,1.84,1,362,0,
52148,Colorful 2BDR Family Apartment,227945,Alex And Kate,,Praha 2,50.0709,14.43157,Entire home/apt,,1,286,2025-06-18,1.61,97,64,44,
55844,Renovated Klimt Studio by Ruterra next to Muzeum,227945,Alex And Kate,,Praha 2,50.07834,14.43302,Entire home/apt,2045,2,510,2025-06-11,2.86,97,67,60,
55856,Renovated Apartment behind National Museum,227945,Alex And Kate,,Praha 2,50.07724,14.43383,Entire home/apt,2449,2,420,2025-06-20,2.35,97,70,52,
70003,Yellow Ruterra studio,227945,Alex And Kate,,Praha 3,50.08655,14.4512,Entire home/apt,1322,2,287,2025-06-08,1.66,97,74,39,
75298,Prague  Studio  Old  Town,398991,Emanuele,,Praha 1,50.092285,14.4329,Entire home/apt,1787,3,37,2024-09-30,0.34,2,178,2,
79373,Residence Masna - Masna201,5282,Klara,,Praha 1,50.08844,14.42424,Entire home/apt,,1,54,2025-06-09,0.31,71,35,2,
79381,Residence Masna - Masna504,5282,Klara,,Praha 1,50.08943,14.42373,Entire home/apt,,1,19,2024-07-06,0.11,71,31,1,
79387,Residence Masna - Masna203,5282,Klara,,Praha 1,50.08943,14.42373,Entire home/apt,,1,35,2025-05-30,0.20,71,24,7,
79711,Ostrovni 7 Apartments,5282,Klara,,Praha 1,50.08051,14.41487,Entire home/apt,,1,20,2024-02-25,0.13,71,31,0,
83067,Old Town Apartment Charles Bridge 3,315332,Lubos & Marta,,Praha 1,50.08409,14.41352,Entire home/apt,2492,3,270,2025-06-06,1.58,14,97,35,
83855,Old Town Apartment Charles Bridge 4,315332,Lubos & Marta,,Praha 1,50.08409,14.41352,Entire home/apt,3080,3,305,2025-05-26,1.92,14,105,46,
83856,Charles Bridge Old Town Apartment 5,315332,Lubos & Marta,,Praha 1,50.08385,14.41463,Entire home/apt,2988,3,454,2025-06-01,2.63,14,103,48,
85790,Grande apartment 43 with River View,383698,Veronika,,Praha 1,50.07744,14.4141,Entire home/apt,4795,1,156,2025-05-27,0.93,39,330,18,
98852,In the heart of historic Prague!!,517329,Terezie,,Praha 1,50.08588,14.42145,Entire home/apt,2027,2,668,2025-06-20,3.87,1,244,49,
106207,Welcome To The Jungle Studio By Ruterra,227945,Alex And Kate,,Praha 3,50.08655,14.4512,Entire home/apt,1730,2,368,2025-06-16,2.17,97,67,47,
109549,Prague Old Town apartment - 2 bdr,565267,Taťjana,,Praha 1,50.09104,14.42533,Entire home/apt,1683,14,177,2025-06-03,1.05,1,315,5,
111141,"Blue Ruterra ""Stay Like a Local"" Studio",227945,Alex And Kate,,Praha 3,50.08655,14.4512,Entire home/apt,1145,2,273,2025-05-16,1.61,97,83,29,
112281,Gorgeous Rose 2BDR Ruterra Suite,227945,Alex And Kate,,Praha 1,50.08005,14.42756,Entire home/apt,2570,2,279,2025-06-17,1.67,97,64,21,
117451,Charming Loft with a Great Terrace!,546587,Kristina,,Praha 5,50.06625,14.40245,Entire home/apt,1862,1,358,2025-06-12,2.18,2,139,30,
146690,"*Spacious,2bdrooms,central,quiet*",589265,Jan,,Praha 3,50.08529,14.44532,Entire home/apt,2060,7,420,2025-06-10,2.47,2,51,27,
167878,Lovely riverview flat with a balcony and a marina,800205,Peter,,Praha 8,50.10546,14.4707,Entire home/apt,4714,10,0,,,1,88,0,
173114,Old Town Square Quiet Chic Apartment,826315,Idan & Marta,,Praha 1,50.091067734318685,14.423598800541122,Entire home/apt,2458,3,447,2025-06-03,2.65,2,303,51,
176243,3BR Old Town Square Apartment 130m2,838198,Michael,,Praha 1,50.08827218384488,14.423229476115441,Entire home/apt,4952,4,470,2025-05-11,2.88,44,201,36,
181641,Krizovnicka apt - Charles Bridge,870664,Jan,,Praha 1,50.08685,14.41432,Entire home/apt,1241,2,184,2020-01-26,1.13,6,38,0,
181951,Opletalova Comfortable Apartment,870664,Jan,,Praha 1,50.08267,14.42895,Entire home/apt,1156,2,145,2024-08-05,0.87,6,47,2,
182072,CITY CENTRE Polska Spacious 2-Bdr Apartment,870664,Jan,,Praha 3,50.0795,14.44812,Entire home/apt,1787,2,36,2024-07-08,0.21,6,61,1,
182772,Charles Bridge Wiew Old Town 1 BR Apartment,315332,Lubos & Marta,,Praha 1,50.08354,14.41276,Entire home/apt,2800,3,260,2025-06-02,1.54,14,63,54,
186750,Studio 1 - Family/friendly flat close to center,783726,Mathieu,,Praha 3,50.08499,14.45316,Entire home/apt,1619,3,651,2025-06-16,4.16,3,167,79,
201908,Nova - only 10min to Charles Bridge,955586,Eric,,Praha 5,50.08033,14.40353,Entire home/apt,,1,52,2025-01-31,0.32,8,0,6,
202545,Milena- 4 Br 2 Ba 3 Wc - 10min from Charles Bridge,955586,Eric,,Praha 5,50.07912,14.40417,Entire home/apt,5104,1,55,2025-04-10,0.33,8,170,4,
207373,Stunning River View apartment ★★★★★,383698,Veronika,,Praha 1,50.07688,14.41391,Entire home/apt,5699,1,298,2025-05-25,1.86,39,329,43,
