id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21134,Cozy Room in the urban centre of Riga,80446,Ieva And Florian Daniel,,Avoti,56.95296,24.13101,Private room,,10,77,2025-08-10,0.45,2,3,1,
142644,Spacious Living Room with Sofa for One,692669,Kaspars,,Ägenskalns,56.93283356659877,24.072439041397626,Private room,28,1,19,2025-09-20,0.11,1,102,11,
275688,Stylish apartment in Old Riga heart,1441076,Marianna,,VecpilsÄta,56.94583,24.11249,Entire home/apt,66,3,16,2023-05-23,0.11,4,238,0,
353581,Large 1-bedroom apt. in Old Riga,1441076,Marianna,,VecpilsÄta,56.94667,24.11297,Entire home/apt,66,3,7,2018-09-23,0.05,4,230,0,
355961,Large apartment in Old Riga heart,1441076,Marianna,,VecpilsÄta,56.94639,24.11266,Entire home/apt,88,3,9,2025-05-01,0.06,4,62,1,
363262,Mansard apartment in Old Riga heart. No elevator,1441076,Marianna,,VecpilsÄta,56.94754,24.11412,Entire home/apt,61,3,17,2022-07-13,0.11,4,237,0,
429062,Modern design apartment in center of Riga,2054298,Ilona,,Centrs,56.95641,24.12503,Entire home/apt,72,2,101,2025-06-01,0.63,1,326,1,
433373,Old Riga Kalku apartment,2153755,Jelena,,VecpilsÄta,56.94823,24.1079,Entire home/apt,59,2,34,2025-09-13,0.22,2,365,8,
446612,Cozy apartment in excellent place,2218232,"Liga, Toms",,TorÅakalns,56.94025,24.09502,Entire home/apt,,2,201,2020-01-06,1.23,1,0,0,
483125,"Riga Center,Stabu iela 49,1bedr.apartm",2391569,Aleksejs,,Centrs,56.955116271972656,24.1312313079834,Entire home/apt,44,2,65,2025-09-14,0.41,1,365,2,
514952,Angel  Apartment  in the heart of Old  Riga,2534039,Anjela,,VecpilsÄta,56.9484,24.10655,Entire home/apt,36,2,319,2025-08-24,2.01,6,259,18,
580504,Sunlit Loft apartment Riga center,2856485,Aigars,,Avoti,56.95501,24.13567,Entire home/apt,34,2,443,2025-09-15,2.76,1,82,31,
716021,Studio 10 minutes from the Old Riga,3689816,Natalja,,Avoti,56.95235,24.15291,Entire home/apt,29,10,43,2025-07-29,0.28,3,365,2,
716025,Luxury  apartment  in 5 min. from Old Riga,3689816,Natalja,,Maskavas forÅ¡tate,56.94543,24.1236,Entire home/apt,41,9,78,2025-09-07,0.49,3,351,1,
788424,Sunny Grand Apartment by Old Town,4155697,Jev,,Centrs,56.95756,24.12374,Entire home/apt,85,2,78,2025-09-13,0.52,2,92,4,
879867,Riga center Friendly 2 rooms Apt,4652968,Mira,,Avoti,56.95307,24.13821,Entire home/apt,43,2,55,2024-08-31,0.36,13,365,0,
888222,"Riga Quiet Centre, Hospitalu Street",4710468,Ruta,,Brasa,56.97372,24.13713,Entire home/apt,26,5,93,2025-09-14,0.67,1,302,4,
1339175,3 room apartments in heart of Old Riga,7261947,Denerika And,,VecpilsÄta,56.94833,24.10792,Entire home/apt,64,1,126,2025-09-08,0.85,1,295,14,
1357371,RIGA OLD CITY - 4 BEDROOM APARTMENT,7368596,Aija,,VecpilsÄta,56.94957,24.10663,Entire home/apt,99,2,337,2025-09-21,2.35,1,307,40,
1426834,"Riga centre Quiet studio apt, self-isolation poss.",4652968,Mira,,Avoti,56.95307,24.13821,Entire home/apt,36,2,26,2025-06-18,0.18,13,332,1,
1485759,Mini 1 room Apt in Riga center,4652968,Mira,,Avoti,56.95307,24.13821,Entire home/apt,27,2,67,2025-09-18,0.45,13,335,1,
1770134,3 room apt in heart of Riga,8320005,Ilzite,,VecpilsÄta,56.94963,24.10281,Entire home/apt,108,3,96,2025-09-12,0.66,1,365,3,
1968804,Cozy little centrally located flat!,9067635,Artur,,Centrs,56.95984,24.10496,Entire home/apt,285,4,23,2023-01-15,0.16,1,90,0,
2002567,Old Riga charming artist's apartment,10312432,Maria Giulia,,VecpilsÄta,56.94655,24.11285,Entire home/apt,43,3,182,2025-08-30,1.27,1,348,14,
2121906,Apartment Stabu 105,10820534,Inta,,Avoti,56.949928,24.14205,Entire home/apt,23,14,179,2025-09-16,1.28,2,289,4,
2265665,TwoWheels Apartment in Riga,11569861,Agnese,,Ägenskalns,56.94556,24.07334,Private room,81,1,13,2022-06-19,0.09,1,363,0,
2286589,3 bedrooms very central,9782548,Julia,,Centrs,56.95597,24.12235,Entire home/apt,241,3,4,2023-07-10,0.03,2,338,0,
2624696,Two room artistic studio in the center of Riga,13442464,Antra,,Avoti,56.95531,24.13659,Entire home/apt,36,2,395,2025-09-07,2.89,2,86,23,
2688125,Brand New 2 bedroom Sunny Apartment in Old Town,12782830,Gustavs,,VecpilsÄta,56.95131,24.10301,Entire home/apt,45,2,159,2025-09-10,1.15,6,350,50,
2712187,Matisa Studio new project in Center with elevator,4666664,Sergejs,,Avoti,56.95385,24.14055,Entire home/apt,33,4,18,2025-08-30,0.20,2,240,4,
2728402,Cozy Studio Apartment in Private House,4820396,Gatis,,BieriÅi,56.92677,24.06085,Entire home/apt,33,1,101,2025-08-25,0.80,1,267,13,
2772806,Beautiful 2BD in Riga City Center,13655321,Zaiga,,Centrs,56.96058,24.13447,Entire home/apt,51,2,91,2025-09-15,0.67,1,243,8,
2778501,Комната в центре Риги,14210504,Olga,,GrÄ«ziÅkalns,56.96338,24.14832,Private room,20,2,209,2025-09-14,1.76,1,365,1,
2797544,Nice and cozy loft apartment,14309977,Renars,,Brasa,56.97586,24.14485,Entire home/apt,76,1,1,2015-05-05,0.01,1,180,0,
2815514,"Economy 2 room Apt, possible self-isolation",4652968,Mira,,Avoti,56.95308,24.13821,Entire home/apt,35,2,33,2025-08-01,0.24,13,246,1,
2893633,Sunny Esplanade by Old Town,4155697,Jev,,Centrs,56.95754,24.1174,Entire home/apt,59,2,50,2023-07-16,0.37,2,34,0,
2905958,Riga center 2 bedroom economy apartment,4652968,Mira,,Avoti,56.95307,24.13821,Entire home/apt,71,2,14,2019-09-25,0.11,13,271,0,
2905964,"Riga center Sunny 2 bedrooms Apt, self-isolation",4652968,Mira,,Avoti,56.95308,24.13821,Entire home/apt,54,2,39,2022-08-15,0.30,13,250,0,
2964429,Penthouse Apartment with 4 bedrooms in Old Town,12782830,Gustavs,,VecpilsÄta,56.95131,24.10301,Entire home/apt,118,2,196,2025-09-21,1.42,6,313,25,
3208256,Flat in the center of Riga with parking,2534039,Anjela,,GrÄ«ziÅkalns,56.96226,24.14215,Entire home/apt,23,5,8,2015-08-10,0.06,6,363,0,
3321355,Holiday House in Riga,16612047,Ilze,,PleskodÄle,56.9284,24.04575,Entire home/apt,,3,1,2015-05-20,0.01,1,0,0,
