id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
77592,"Charming, Cozy Rotterdam Center",416305,Jos,Delfshaven,Middelland,51.9149,4.46322,Entire home/apt,134,2,18,2022-10-02,0.10,1,0,0,Exempt
101526,Apartment Dependance Rotterdam,531869,Loes,Rotterdam Centrum,Dijkzigt,51.91246,4.46586,Entire home/apt,151,7,32,2025-08-26,0.18,1,38,8,0599 51CC CA3A 88B0 CEF1
539905,Sunny garden apt in Kralingen/R'dam,2652971,Michael,Kralingen-Crooswijk,Kralingen Oost,51.92292,4.51435,Entire home/apt,151,4,24,2022-09-11,0.15,1,328,0,0599 F642 774A E974 C0A9
763422,City appartment: b&b Walenburg,4024319,Machteld,Noord,Blijdorp,51.93021,4.46853,Private room,,2,424,2025-09-21,2.83,1,75,37,0599 0D64 133D 0093 457A
878959,Apartment  Rotterdam Noord,4646003,Michel,Noord,Oude Noorden,51.93319,4.47658,Entire home/apt,,6,20,2023-05-03,0.13,1,0,0,0599 8D6D 8745 6244 F5F9
1322782,Spacious room close to city centre,6926282,Marion,Delfshaven,Nieuwe Westen,51.92127,4.4563,Private room,61,3,156,2025-09-02,1.22,4,139,11,0599 7F3D 2D0E ECD3 0C97
1329363,Colourful Room Close to City Centre,6926282,Marion,Delfshaven,Middelland,51.91955,4.4561,Private room,52,3,103,2025-08-06,0.75,4,84,25,0599 7F3D 2D0E ECD3 0C97
1403364,Romantic deckhouse on historic ship central R'dam,7574324,Esther,Rotterdam Centrum,Stadsdriehoek,51.9149,4.48253,Entire home/apt,76,2,687,2025-09-21,4.75,2,337,78,0599 55C3 36A7 F981 E15C
1439548,Boutique hostel in the middle of Rotterdam,7718807,Hostel Ani & Haakien,Rotterdam Centrum,Oude Westen,51.92088,4.46529,Shared room,33,1,184,2025-07-24,1.25,6,111,12,Exempt
1504950,Luxe Guest house in Hooimijt,8040675,Det,Hillegersberg-Schiebroek,Hillegersberg Noord,51.96387,4.48423,Entire home/apt,131,7,137,2025-09-06,1.03,1,295,12,0599 5DEA B875 55B2 AA00
1634923,Unique room in bow of historic ship central R'dam,7574324,Esther,Rotterdam Centrum,Stadsdriehoek,51.91377,4.48509,Entire home/apt,82,2,390,2025-09-19,3.29,2,338,74,0599 55C3 36A7 F981 E15C
1790922,Private Studio Ahoy/Zuidplein,9396518,Jose,Charlois,Tarwewijk,51.8901847,4.4877116,Entire home/apt,,1,67,2025-04-14,2.34,1,0,22,0599F800C62B9265A45F
1839719,Groepsverhuur Luciana en/of Catherina te Rotterdam,9614440,Pieter Christiaan,Rotterdam Centrum,Nieuwe Werk,51.90683,4.47869,Entire home/apt,473,2,77,2025-04-13,0.68,1,161,16,Exempt
2007748,Fully equipped 2 bedroom appartment,10333630,Dieter,Feijenoord,Afrikaanderwijk,51.90575,4.4989,Entire home/apt,,121,21,2021-08-30,0.15,1,0,0,0599 DE3E 4174 D1B2 4473
2097520,Casa La Rosa – B&B / Shortstay,10698794,Fabiana & Rocco,Delfshaven,Nieuwe Westen,51.91794,4.45179,Entire home/apt,71,10,202,2023-01-23,1.43,1,259,0,0599 8351 BBF5 58F6 7DE0
2211519,Stylish apartment on Rotte canal with roof garden,11266043,M.J.,Noord,Oude Noorden,51.92674,4.48472,Entire home/apt,,2,67,2023-08-27,0.48,1,0,0,0599 6DC8 19F3 B63D B065
2212620,Gezelligste huis van Rotterdam bij Kralingse bos,11286643,Silvia,Prins Alexander,Prinsenland,51.92859,4.5395,Entire home/apt,170,2,10,2025-09-09,0.07,1,319,7,0599 AEEF E0E6 FC41 F578
2317332,Sleep by the bridge with great view,11834678,Maarten,Delfshaven,Spangen,51.91835,4.44317,Entire home/apt,90,1,442,2025-08-24,3.49,1,2,42,0599 9CCB BF45 C894 A053
2417980,B&B De Speelman (home; 2 pers),12357210,Yvonne,Overschie,Overschie,51.93911,4.41969,Private room,,2,243,2025-07-28,1.73,1,173,10,0599346D7400C35C8639
2692286,Near Erasmus University long stay.,13768594,Eliza,Prins Alexander,Nesselande,51.96857,4.58284,Private room,55,2,69,2024-11-30,0.50,2,264,1,0599 CD13 E32F 3E3C 879A
2703936,Gezellig & rustig appartement vlakbij het centrum,12377206,Aukje,Noord,Blijdorp,51.9328174,4.4597764,Entire home/apt,112,3,8,2025-09-12,1.09,1,42,8,0599 608E BC9E 225B 1591
3461082,Cozy apartment with garden!,4932763,Evelien,Kralingen-Crooswijk,Kralingen Oost,51.92752,4.51779,Entire home/apt,75,20,24,2025-08-24,0.18,2,25,5,0599 82D3 ED04 0716 6E5B
3561821,ZooZooHouse,6052050,Cristina Cassandra,Rotterdam Centrum,Cs Kwartier,51.92306,4.46677,Entire home/apt,75,60,13,2024-12-02,0.11,1,315,1,0599 8688 86C8 C175 83A6
3628774,Beautiful room in Rotterdam,7395931,Gilles,Kralingen-Crooswijk,Kralingen West,51.92459,4.50305,Private room,,1,37,2022-09-11,0.27,1,0,0,0599 9DB9 AF58 5703 C5AC
3670038,Big appartement with a garden.,17799395,Manon,Rotterdam Centrum,Dijkzigt,51.9124,4.46728,Entire home/apt,167,2,438,2025-09-22,3.22,1,221,35,0599236183B652A3A69E
