id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49287,BEAUTIFUL APARTMENT IN SEVILLE,224697,Walter,Casco Antiguo,San Lorenzo,37.39898,-5.99533,Entire home/apt,93,3,40,2025-09-21,0.23,1,206,1,VFT/SE/01116
108236,Sunny apt in heart of seville!!,560040,José Luis,Casco Antiguo,San Vicente,37.39685821533203,-5.99912691116333,Entire home/apt,120,2,222,2025-09-23,1.27,4,79,25,VFT/SE/05126
111140,Quiet&historicenter&local experienc,560040,José Luis,Casco Antiguo,San Vicente,37.39592361450195,-5.999317169189453,Entire home/apt,89,2,63,2025-08-02,0.36,4,106,11,VUT/SE/08197
159596,apto lujo 2 D en el Arenal (Sevilla),629861,Alvaro,Casco Antiguo,Arenal,37.38671,-5.99581,Entire home/apt,,64,1,2019-11-24,0.01,2,60,0,
179629,Bamberg Duplex Terraza Centro Historico 5 pax,860055,Maria,Casco Antiguo,Santa Cruz,37.38731,-5.99095,Entire home/apt,146,3,205,2025-04-22,1.23,24,245,3,ESFCTU0000410340000259370000000000000000VFT/SE/004264
185356,Macarena Romans Walls 7 pax,860055,Maria,Macarena,"León XIII, Los Naranjos",37.40307,-5.98409,Entire home/apt,,3,120,2025-08-25,0.70,24,252,7,ESFCTU0000410370003865030000000000000000VFT/SE/004259
207702,Céntrico a 7 minutes de la Catedral,1022533,Maria,Casco Antiguo,Museo,37.38945,-5.99889,Entire home/apt,85,3,508,2025-09-24,3.78,1,111,53,ESFCTU0000410260007061830000000000000000VUT/SE/000353
227905,"HISTORIC ROOM, CENTER OF SEVILLE",1188880,Lola,Casco Antiguo,Museo,37.39299,-5.99916,Private room,54,1,238,2025-09-28,1.41,2,62,41,CCAAVUT/SE/01964
253430,Apartment in historic center. WIFI,1330663,Mario,Casco Antiguo,Alfalfa,37.39107,-5.99261,Entire home/apt,80,3,331,2025-09-16,1.96,2,148,18,
266016,"nice loft it the Center, wifi",1391956,Jorge,Nervión,San Bernardo,37.38111,-5.98616,Entire home/apt,105,2,459,2025-09-14,2.76,5,32,34,VUT/SE/14427
