id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
103875,Design house-city centre-private parking,541315,Arthur,Wijk 28 Centrum,Zuidwal,52.07453,4.31669,Entire home/apt,158,7,20,2021-11-12,0.12,3,195,0,0518B3A6F34367DC62EA
378711,ruime studio w.private kitchen/bath near beach.,1902132,Karen,Wijk 03 Westbroekpark en Duttendel,Duttendel,52.10673,4.30498,Private room,112,2,29,2025-08-13,0.37,2,178,1,0518 8B36 A437 A071 6DE3
450807,Zen in the City Privat Cosy XL APP,2238496,Saskia,Wijk 26 Bezuidenhout,Bezuidenhout-Midden,52.08399,4.33062,Entire home/apt,130,10,130,2025-08-08,0.80,1,221,1,0518 2B37 5D9E E68B 7E90
492615,Cute Room in  Den Haag Centrum,1003354,Paul,Wijk 29 Schildersbuurt,Schildersbuurt-West,52.07198,4.29595,Private room,45,2,485,2025-09-20,3.00,2,226,54,05188F255B48V7D7EF83
523633,Amazing Apartment on 39th floor 771,300966,Elwin,Wijk 27 Stationsbuurt,Huygenspark,52.07148,4.32459,Entire home/apt,210,1,445,2025-09-17,2.76,20,352,22,Exempt
628445,Amazing Apartment on 39th floor 773,300966,Elwin,Wijk 27 Stationsbuurt,Huygenspark,52.07137,4.32465,Entire home/apt,233,1,270,2025-05-30,1.70,20,363,3,Exempt
635931,Amazing Apartment on 39th floor 772,300966,Elwin,Wijk 27 Stationsbuurt,Huygenspark,52.07137,4.32465,Entire home/apt,202,1,163,2025-08-22,1.02,20,360,4,Exempt
635974,Amazing Apartment on 39th floor 774,300966,Elwin,Wijk 27 Stationsbuurt,Huygenspark,52.07137,4.32465,Entire home/apt,205,1,248,2025-08-18,1.57,20,342,8,Exempt
641820,"B&B The Hague, Own floor, Shared front door",3206829,Coco,Wijk 04 Benoordenhout,Duinzigt,52.10292,4.32035,Entire home/apt,72,2,286,2025-09-01,1.92,1,339,16,0518 39C4 1D10 992B 8F94
730922,Second Cute Room Den Haag Centrum,1003354,Paul,Wijk 29 Schildersbuurt,Schildersbuurt-West,52.07198,4.29595,Private room,47,2,354,2025-09-18,2.37,2,327,40,0518 8F25 5B48 C7D7 EF83
774806,Very QUIET apartment between centre & beach,4069743,James,Wijk 21 Regentessekwartier,Koningsplein en omgeving,52.07854,4.28127,Entire home/apt,206,2,83,2025-08-14,0.60,1,95,10,0518 746B 667E 1E1A F580
800960,Amazing Apartment on 38th floor 767,300966,Elwin,Wijk 27 Stationsbuurt,Huygenspark,52.07137,4.32465,Entire home/apt,210,1,196,2025-08-26,1.26,20,341,5,Exempt
819029,MAFF TOP Studio Apartment | City Centre-Parking,541315,Arthur,Wijk 28 Centrum,Zuidwal,52.07425,4.31658,Entire home/apt,124,2,58,2025-03-28,0.40,3,254,3,0518 FFC0 E3D5 3FC5 005F
857470,Amazing Apartment on 38th floor 769,300966,Elwin,Wijk 27 Stationsbuurt,Huygenspark,52.07137,4.32465,Entire home/apt,230,1,176,2025-08-23,1.14,20,358,2,Exempt
867183,Cozy Coach House -TOP location- Beach & City!,4558657,Louise,Wijk 09 Geuzen- en Statenkwartier,Statenkwartier,52.09847,4.28122,Entire home/apt,,3,37,2025-08-22,0.32,1,0,2,Exempt
1082476,Comfortable rooms in the Hague,5537414,Ingrid,Wijk 12 Bomen- en Bloemenbuurt,Bloemenbuurt-Oost,52.07661,4.26267,Private room,36,2,42,2024-09-20,0.28,1,114,0,05184C04D31D7B8038E8
