id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50904,A Place Boutique - Deluxe suite,234077,Calvin,,Historisch Centrum,51.218575,4.398631,Hotel room,130,1,3,2022-05-15,0.02,9,331,0,
345959,Marleen's home in Antwerp city,1754396,Marleen,,Markgrave,51.2015,4.40004,Entire home/apt,63,3,130,2025-06-19,0.81,1,251,20,
366252,ROOM IN FAMILY HOME near C. Station,1820186,Godelieve,,Borgerhout Intra Muros Noord,51.21602,4.43472,Private room,34,1,162,2024-09-26,1.00,2,125,1,
522693,Ahome Awayfromhome,2562294,Ahome,,Historisch Centrum,51.21943,4.39815,Entire home/apt,,2,0,,,1,0,0,
603545,*Perfect* for a Longer Stay | Trendy | City center,2987880,Cédric,,Harmonie,51.20819,4.40597,Entire home/apt,,5,46,2024-11-08,0.30,1,0,7,
772842,Stylish Boho Loftstyle Appartment w/ Amazing Views,4050173,Daisy,,Linkeroever,51.21843,4.38422,Entire home/apt,100,30,82,2025-06-01,0.54,1,226,8,
778043,cosy & beautiful apartment Antwerp,1735092,Marc & Elizabeth,,Stadspark,51.20446,4.41337,Entire home/apt,77,2,94,2025-06-14,0.62,1,342,7,
813969,150 m² loft (terrace & river view),4277604,Sarah,,Sint-Andries,51.21347,4.39125,Entire home/apt,232,1,137,2024-12-01,1.12,3,9,5,
890384,A terrace and plunchpool in Antwerp city,3185214,Annemie,,Centraal Station,51.21264,4.42573,Entire home/apt,116,7,1,2024-07-30,0.09,1,36,1,
891884,A Place Boutique -  Deluxe square view Suite,234077,Calvin,,Historisch Centrum,51.218575,4.398631,Hotel room,138,1,3,2022-05-10,0.04,9,334,0,
891907,A Place Boutique - 2 bedroom Apartment,234077,Calvin,,Historisch Centrum,51.218575,4.398631,Entire home/apt,155,1,32,2025-03-27,0.24,9,295,6,
959200,Artistic Guesthouse Anita - Hidden Gem in Antwerp,4715596,Caroline,,Borgerhout Intra Muros Noord,51.21531295776367,4.438202857971191,Entire home/apt,,5,83,2025-05-18,0.59,3,6,11,
991824,Colourful Inspiration In Every Room,5446991,Magali,,Deurne Zuid West,51.20316,4.46015,Entire home/apt,68,1,387,2025-06-09,2.61,2,313,36,
1050693,Colourful Inspiration In Every Room,5446991,Magali,,Deurne Zuid West,51.20316,4.46015,Entire home/apt,72,1,35,2025-03-02,0.25,2,313,4,
1123076,"Two-bedroom Apartment
 Antwerp",5104070,Tim,,Universiteitsbuurt,51.22266574900081,4.411493147724809,Entire home/apt,83,2,3,2025-05-31,1.70,1,296,3,
1172507,"Number22Antwerp ,street Floor",6068286,Frédéric,,Zuid,51.21174,4.39944,Entire home/apt,68,2,195,2025-06-02,1.36,1,293,4,
1184623,Penthouse in Antwerp-Eilandje,4865806,Tommie,,Eilandje,51.23006,4.40869,Entire home/apt,187,2,42,2025-03-03,0.29,2,134,6,
1227242,Cosy ship Auwe Neel Antwerp Belgium,4193029,Jan,,Eilandje,51.22861,4.40386,Private room,53,1,91,2025-06-15,1.40,2,330,19,
1328770,Cosy historic Ship Hannus  Antwerp,4193029,Jan,,Eilandje,51.22868,4.40399,Private room,58,1,227,2025-06-08,1.56,2,326,20,
1808782,LOFT 1D  - conceptual loft,9478810,Keith,,Sint-Andries,51.21232,4.39571,Entire home/apt,100,2,294,2025-05-04,2.10,1,67,26,
1856023,"Ray of Light, Het Eilandje",9686695,,,Eilandje,51.23144,4.4048,Entire home/apt,89,5,25,2025-04-01,0.24,2,268,2,
1897272,Casa Ambera,9174116,Sascha,,Haringrode,51.20079,4.41933,Entire home/apt,271,2,62,2019-07-29,0.44,2,363,0,
2282418,Appartement met 1 slaapkamer,11633996,Samira,,Borgerhout Extra Muros,51.21264,4.45213,Entire home/apt,,2,196,2024-08-28,1.60,1,0,12,
2448815,Maison Nationale Penthouse Suite,450285303,Lander,,Sint-Andries,51.21603012084961,4.399158954620361,Entire home/apt,198,1,0,,,13,238,0,
2474748,Sunny house Antwerp-Zuid. Parking spot included.,7818030,Dominique,,Zuid,51.20907,4.38672,Entire home/apt,199,2,272,2025-06-23,1.98,2,25,35,
2507353,Cosy private room near station/town,2330818,,,Amandus - Atheneum,51.21877,4.42976,Private room,49,2,212,2025-06-15,1.55,1,249,31,
2543695,A Place Boutique - 2 bedroom Apartment with patio,234077,Calvin,,Historisch Centrum,51.218575,4.398631,Entire home/apt,156,1,39,2025-06-09,0.30,9,340,5,
2602613,Light and spacious duplex apartment,13330269,Joelle,,Borgerhout Intra Muros Zuid,51.21595,4.43032,Entire home/apt,54,2,306,2025-06-11,2.24,1,7,37,
2659281,Gezellig rijtjeshuis met tuin vlakbij groot park.,6602849,Rudina,,Deurne Dorp - Gallifort,51.21962,4.45746,Entire home/apt,,5,17,2025-05-25,0.48,1,4,7,
2682808,Cosy room in a charming house,13733939,An,,Oud - Berchem,51.19926,4.42986,Private room,42,2,545,2025-06-03,3.99,1,340,37,
2819412,"laterrebleue-'my house, your house'",14423888,Terra,,Borgerhout Intra Muros Zuid,51.20914,4.43539,Private room,42,1,176,2025-06-23,1.44,1,334,13,
3426775,100 year old renovated home,14793024,,,Oud - Berchem,51.19884,4.42074,Entire home/apt,77,5,27,2025-04-02,0.22,1,7,1,
3581864,Sunny apartment with view on new ZUID park!,7386200,Mathieu,,Zuid,51.21179,4.39336,Entire home/apt,77,2,163,2025-06-10,1.23,1,120,29,
3857702,Apartment - 4 Guests - City Center Antwerp,19891615,Bart,,Universiteitsbuurt,51.22173,4.4092,Entire home/apt,207,2,43,2023-10-29,0.35,3,222,0,
3860392,Studio - City Center Antwerp,19891615,Bart,,Universiteitsbuurt,51.22118,4.4078,Private room,86,2,6,2024-03-04,0.05,3,193,0,
4032738,"Roof apartment, 1 bedroom",20906634,Sirene,,Borgerhout Intra Muros Noord,51.21566,4.43575,Entire home/apt,69,2,21,2025-05-03,0.16,1,158,4,
4265913,stadswoning/privé-parking/elektrisch laden,22144864,Greet,,Amandus - Atheneum,51.21765,4.4284,Entire home/apt,225,2,29,2024-08-11,0.22,4,337,1,
4266515,"gastenkamer met en-suite badkamer, parking",22144864,Greet,,Amandus - Atheneum,51.218739887595014,4.428639977092803,Private room,200,2,0,,,4,362,0,
4425751,"2 bedrooms, cosy sitting areas & rooftop terrace",3093188,Saskia,,Stadspark,51.20934,4.41503,Private room,62,1,122,2025-01-01,0.96,1,173,6,
4468570,Chic Industrial Loft with Modern Tech in Antwerp.,23161267,Siegert,,Eilandje,51.22734,4.41206,Entire home/apt,80,21,1,2024-07-12,0.09,1,223,1,
4733497,"Louise Marie, romantisch huisje",24249803,Michel,,Sint-Andries,51.21743,4.39925,Entire home/apt,,2,120,2021-12-05,0.94,1,0,0,
4748466,South 44 - Tweeslaapkamerappartement op het Zuid,24507004,Nele,,Zuid,51.206662044239174,4.392056396958939,Entire home/apt,178,2,30,2025-06-01,0.82,1,346,12,
4900847,Lovely house great location,15529473,Liesbeth,,Borgerhout Intra Muros Noord,51.21784,4.43281,Entire home/apt,,2,8,2020-01-01,0.07,2,0,0,
4980368,2 bedroom appartement in Antwerp with amazing view,25674863,Sam,,Groenenhoek,51.20373,4.4406,Entire home/apt,97,2,21,2025-02-23,0.19,2,83,2,
4985922,Sfeervolle studio in hartje Antwerp,25701603,Nadi,,Harmonie,51.20845,4.40583,Entire home/apt,78,2,73,2025-06-15,0.59,1,259,17,
5047962,Quiet place in an historical quarter,12309348,Luc & Kristina,,Haringrode,51.2027654,4.4244886,Private room,48,2,194,2025-05-26,1.53,1,278,10,
5143364,Light flat + seperate workspace,15066463,Lien,,Borgerhout Intra Muros Zuid,51.21311,4.43188,Entire home/apt,68,5,1,2023-08-31,0.05,1,117,0,
5233718,Apartment in Antwerp,27086764,Nina,,Theaterbuurt-Meir,51.21543,4.41303,Entire home/apt,63,3,40,2025-01-03,0.32,1,58,5,
