id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
70820,City View - Sarah's double room.,360195,Sarah,,Windmill Hill,51.43843,-2.59183,Private room,40,4,206,2025-08-31,1.42,5,22,10,
117122,City Centre-Waterside Retreat,591555,Marcus,,Hotwells & Harbourside,51.44976,-2.61,Private room,79,1,215,2025-08-10,1.24,1,350,18,
176306,The White Room -  Central Bristol Art House Garden,708175,Orla,,Southville,51.44174,-2.60297,Private room,34,5,57,2025-09-21,0.36,1,132,1,
307634,"'The Sunset Room' Peaceful, Clear Home",1582810,Wendy,,Easton,51.46487,-2.5569,Private room,42,4,49,2025-09-13,0.48,3,240,5,
390781,"Cosy large room nr TV studios, Paintworks & stores",1954565,Fiona,,Brislington West,51.44444,-2.55783,Private room,,2,59,2023-09-01,0.36,2,0,0,
391093,Characterful home in great location,1956028,Louise,,Redland,51.477821350097656,-2.5919950008392334,Private room,52,1,101,2024-10-21,0.63,1,165,4,
407485,Bristol Beautiful Garden Apartment,2029719,Ingrid,,Ashley,51.46769,-2.5825,Entire home/apt,86,2,384,2025-09-21,2.35,1,337,36,
422956,Modern inner city 3 bed eco house,2103297,Lois,,Redland,51.4738,-2.60615,Entire home/apt,172,2,509,2025-09-21,3.12,2,312,41,
758894,"Clifton Village, superfast internet, car permit",3996407,Joanna,,Clifton,51.45524,-2.62168,Entire home/apt,147,3,520,2025-09-22,3.32,2,332,22,
868888,Large double room with breakfast,4577089,Rohan,,Eastville,51.47305,-2.54617,Private room,,7,7,2020-03-01,0.08,2,0,0,
942226,BnB in Barn with 2 ensuite Bedrooms,2103297,Lois,,Redland,51.47461,-2.60433,Entire home/apt,116,2,446,2025-09-26,3.00,2,321,44,
975170,Double room in quiet LGBTQIA+ friendly home,5332833,Ashley,,Eastville,51.48143,-2.55327,Private room,,3,99,2022-04-02,0.65,2,0,0,
1033484,Tranquil Room near City Centre,5687726,Joanne,,Ashley,51.4636,-2.57788,Private room,37,2,392,2025-08-20,2.59,2,28,3,
1166104,Private room in ‘Garden Square' Georgian townhouse,6386989,Anne + Iain,,Clifton,51.451714,-2.6209058,Private room,37,7,109,2025-09-18,0.73,2,114,13,
1180148,"Large quiet luxury room, deluxe bed, desk & couch",6456324,Gavin,,Knowle,51.43868,-2.56715,Private room,42,2,82,2025-09-18,0.55,2,343,23,
1182074,"Large twin room in Shirehampton, Bristol",6466360,Rebecca,,Avonmouth & Lawrence Weston,51.48503,-2.67242,Private room,42,1,42,2025-09-15,0.60,2,262,1,
1329265,"Central location, perfect for visitors",7144675,Stephanie,,Lawrence Hill,51.45919,-2.57566,Private room,39,4,291,2025-09-08,1.96,1,132,28,
1337681,Stylish Family Home in Amazing Location,7254449,Tamsin,,Stoke Bishop,51.47269,-2.64089,Entire home/apt,615,3,24,2024-08-29,0.16,1,363,0,
1457693,Cosy single room with breakfast,4577089,Rohan,,Eastville,51.47402,-2.54735,Private room,,21,15,2020-11-15,0.10,2,0,0,
1536968,Blanket Box - Sarah's large Room,360195,Sarah,,Windmill Hill,51.44044,-2.5924,Private room,,2,118,2024-04-10,0.95,5,0,0,
1906645,"Sunny, stylish home-great location- Free Parking",9487977,Abi,,Cotham,51.46699,-2.59563,Entire home/apt,,14,113,2025-07-13,1.02,1,0,9,
2028961,Single room in quiet LGBTQ friendly home,5332833,Ashley,,Eastville,51.48329,-2.55275,Private room,,3,87,2023-05-21,0.61,2,0,0,
2164660,Lovely light attic room,5905890,Stella,,Eastville,51.47175,-2.56267,Private room,29,1,367,2025-09-23,2.64,1,110,50,
2235568,A Cool Place in Montpelier (with en-suite),11413122,Tony,,Ashley,51.46774,-2.58777,Private room,52,2,381,2025-09-16,2.71,3,32,21,
2293494,"Lovely, bright family home with 1 sofa bed",11717203,Natalie,,Eastville,51.47094,-2.56002,Entire home/apt,68,3,0,,,2,269,0,
2403979,Entire family home near city centre,12286397,Bo,,Ashley,51.46987,-2.57697,Entire home/apt,,2,14,2019-08-08,0.10,1,0,0,
2446524,A home away from home!,12510269,Namrata,,Clifton,51.45915,-2.62554,Private room,28,1,15,2020-10-20,0.15,2,241,0,
2523293,A stay in a home from home!,12510269,Namrata,,Clifton,51.45916,-2.62558,Private room,32,1,165,2024-09-30,1.20,2,0,1,
2548956,"Huge, bright, spacious double room.",13019736,Jody,,Southmead,51.50508,-2.58862,Private room,37,1,490,2025-09-20,4.67,2,13,29,
2793019,Cute Quirky Flat in Prime Location,13804437,Kathleen,,Ashley,51.46664,-2.58431,Entire home/apt,,2,72,2023-10-11,0.52,1,0,0,
3365141,Quiet + large ensuite double room,7588995,Michael And Olivia,,Ashley,51.46949,-2.58385,Private room,60,1,488,2025-05-11,3.56,1,24,8,
3453720,Self-contained studio apartment,17137345,Jeffrey,,Redland,51.47004,-2.59747,Entire home/apt,35,90,44,2024-12-19,0.32,2,268,1,
3457246,lovely single room in quiet house,17422981,Kath,,Stockwood,51.41205,-2.55552,Private room,,90,35,2020-12-31,0.26,1,0,0,
3468287,Double-bedroom to rent near city centre,17474076,Monica,,Lawrence Hill,51.4628,-2.56775,Private room,29,30,96,2025-04-30,0.78,2,239,3,
3490531,modern Clifton Town House,650181,Jeremy,,Clifton Down,51.46566,-2.60942,Private room,51,5,36,2025-08-05,0.27,2,26,3,
3879902,Tranquil Double Room near City Centre,5687726,Joanne,,Ashley,51.465,-2.57984,Private room,47,2,192,2025-09-08,1.42,2,60,6,
3896013,Two bed city centre flat with parking,19817019,Benjamin,,Central,51.45901,-2.58957,Entire home/apt,,4,145,2024-10-20,1.07,1,0,1,
3906876,Luxury Harbour Side Apartment,20235167,Robert,,Hotwells & Harbourside,51.4506,-2.60721,Entire home/apt,262,5,43,2023-03-16,0.32,1,365,0,
3975847,"Victorian house, room with double bed and en suite",20605126,Val,,Clifton Down,51.46993,-2.61109,Private room,70,1,179,2025-09-21,1.67,1,216,24,
4086139,"Beautiful room and bathroom, central location",21194896,Sue,,Cotham,51.46167,-2.5966,Private room,50,2,750,2025-09-21,5.58,1,224,30,
4130880,Cosy double. Free Parking. Breakfast. Southville,21295528,Helen,,Southville,51.44062,-2.60893,Private room,36,2,263,2025-08-11,2.05,2,31,3,
