id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45026,Apartment raised basement,198732,Christine,,Saint-Gilles,50.82677,4.34987,Entire home/apt,64,1,161,2025-06-18,0.90,1,328,70,
48180,in renewal,219560,Ahmet,,Woluwe-Saint-Pierre,50.83771,4.40707,Entire home/apt,200,2,0,,,1,364,0,
52796,Bright apartment in Ixelles/Louise,244722,Pierre,,Ixelles,50.83362,4.36057,Entire home/apt,83,5,133,2025-05-05,0.76,1,222,10,
80257,Private New York Apt-Brussels Midi Station&Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,147,1,10,2024-12-01,0.06,15,238,1,
80320,Private Medina Apt- Brussels Midi Station & Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,163,1,75,2023-05-28,0.44,15,223,0,
80373,Private Villa Romaine Apt- Midi station & Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,141,1,19,2024-12-16,0.17,15,225,1,
96293,Big Family N°1 Apt- Brussels Midi Station & Center,433586,Kristella/Francesco,,Anderlecht,50.84053,4.3363,Entire home/apt,228,1,57,2025-04-19,0.33,15,224,1,
96642,Private Violetta Apt-Brussels Midi Station &Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,104,1,30,2025-05-22,0.17,15,200,3,
96694,Private Mimosa Apt -Brussels Midi Station & Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,180,1,49,2024-07-07,0.29,15,249,1,
97740,A la Villa des Roses Voltaire B&B,517059,Benoît,,Schaerbeek,50.87048,4.37904,Hotel room,81,2,3,2016-05-26,0.02,2,0,0,
97768,Charming & cosy B&B in Uccle.,510480,Françoise,,Uccle,50.80688,4.33337,Private room,,92,2,2021-06-30,0.03,2,18,0,
106677,Charming Flat/Studio with garden.,510480,Françoise,,Uccle,50.80657,4.33571,Entire home/apt,67,92,1,2019-09-30,0.01,2,307,0,
118707,Private Apt Sydney-Brussels Midi Station & Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,165,1,50,2025-04-28,0.29,15,246,3,
130097,Very close to Grand'Place,641036,Pascal,,Bruxelles,50.84581,4.35008,Hotel room,114,2,280,2025-06-14,1.64,2,257,56,
134357,Private Apt Florence-Brussels Midi Station &Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,132,1,27,2025-03-16,0.20,15,166,1,
134361,Private Lilas Apt- Brussels Midi Station & Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,193,1,43,2025-05-19,0.29,15,222,2,
134504,Private Villarosa Apt-Brussels Midi Station&Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,174,1,29,2024-10-28,0.17,15,219,1,
134581,Big Family N°2 Apt-Brussels Midi Station & Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,224,1,150,2025-03-30,0.88,15,240,13,
148114,Private Savane Apt-Brussels Midi Station & Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,167,1,15,2023-03-19,0.09,15,223,0,
148797,Big appt 3 bedroom with Garden,717733,Grégoire,,Etterbeek,50.83063,4.38619,Entire home/apt,150,5,21,2024-08-15,0.15,1,62,3,
196623,LOFT JAMAR BRUXELLES GARE DU MIDI,957771,Sylvain,,Anderlecht,50.84,4.33689,Entire home/apt,102,1,216,2025-03-09,1.30,1,271,5,
200385,Bright and Charming Apartment with sunny terrace!,624176,Daan,,Saint-Gilles,50.8264,4.34247,Entire home/apt,107,2,552,2025-06-14,4.49,1,292,108,
268652,Contemporary Art Flat in Centre,1408080,Luc,,Bruxelles,50.852,4.34017,Entire home/apt,83,1,393,2025-05-27,2.41,1,243,12,
269844,Beautiful apartment near EU offices,1171205,Elena,,Bruxelles,50.84584,4.37564,Entire home/apt,,2,166,2025-05-22,1.01,2,221,41,
302472,Brussels EU Uptown charming modern!,71215,Ariane,,Ixelles,50.81523,4.35168,Entire home/apt,100,5,8,2025-05-25,0.06,1,363,1,
348575,Duplex first floor - Brussels,1764707,Marcelo,,Bruxelles,50.84902,4.3653,Entire home/apt,,6,235,2025-02-22,1.48,3,309,9,
348607,Central renovated duplex – Elegant & Equipped,1764707,Marcelo,,Bruxelles,50.84731,4.36337,Entire home/apt,,15,218,2025-02-23,1.36,3,336,12,
378953,Large house & garden front room,1823420,Vincent,,Woluwe-Saint-Lambert,50.86206,4.4274,Private room,50,3,70,2025-01-01,0.47,3,290,5,
378955,A nice & green place for a long stay,1823420,Vincent,,Evere,50.8619,4.42555,Entire home/apt,64,14,23,2025-05-25,0.14,3,192,4,
405932,Sunshine B&B Brussels - Chatelain,2023289,Jacques & Françoise,,Ixelles,50.82071,4.35525,Private room,65,2,163,2025-04-15,1.05,1,266,11,
441012,Altitude 100,2188987,Elvira Anna Elisabetta,,Forest,50.81568,4.33865,Entire home/apt,59,3,112,2025-04-14,0.75,2,245,2,
443355,"Stay @Bohemian heart BXL, in spacious comfort",2188995,Veronica,,Saint-Gilles,50.83212,4.34993,Private room,45,3,21,2025-05-27,0.13,3,155,4,
489081,Family stay @ bohemian heart BXL,2188995,Veronica,,Saint-Gilles,50.83131,4.34995,Entire home/apt,130,6,13,2025-05-04,0.08,3,361,4,
510929,Room for one under the roof,2210824,Carine,,Saint-Josse-ten-Noode,50.85411,4.37615,Private room,50,4,412,2025-06-17,2.60,1,62,30,
623192,Cute flat down town Brussels,3090043,Amélie,,Bruxelles,50.84387,4.34906,Entire home/apt,68,4,278,2025-05-31,1.78,1,56,15,
659834,Centre Ville Grand-Place Loft-Atelier d'artistes,2996959,Hervé,,Bruxelles,50.84724,4.34033,Entire home/apt,78,3,139,2025-05-31,0.89,1,348,34,
666495,"NY Style basement studio, Brussels",3369813,Jeroen,,Anderlecht,50.83392,4.32795,Private room,65,2,36,2025-05-10,0.23,1,284,4,
678139,Cosy 90 m2 duplex + private garden in Ixelles,3449982,Laetitia,,Ixelles,50.83195,4.36246,Entire home/apt,98,10,69,2025-06-07,0.92,5,324,19,
688398,"Studio flat in St Gilles, Brussels",3506931,Adam,,Saint-Gilles,50.83202,4.34506,Entire home/apt,45,5,121,2025-05-10,0.78,1,135,7,
701220,"Appart plein de charme, bien situé",102116,Isabelle,,Forest,50.81891,4.32694,Entire home/apt,80,5,20,2025-02-09,0.45,1,27,4,
702465,2 BEDROOM APARTMENT IN BRUSSELS,3275907,Patrick,,Anderlecht,50.84114,4.3364,Entire home/apt,159,4,228,2025-05-18,1.48,1,19,4,
746595,Unique lodging - garden + free parking - Brussels,3917867,Hugues,,Forest,50.821,4.32819,Entire home/apt,145,2,196,2025-05-11,1.30,1,173,17,
753573,situé à proximité des institutions européennes,3925484,Madeleine,,Bruxelles,50.84868,4.38655,Private room,69,1,278,2025-06-13,1.87,1,87,52,
785852,spacious apt in central brussels,3584896,Luna,,Bruxelles,50.85042,4.34298,Entire home/apt,59,3,10,2015-10-09,0.07,1,213,0,
