id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6020,"Perfect location in the center,clean,personal care",2850,Janos,,XIII. kerület,47.51425,19.04829,Entire home/apt,24620,2,132,2025-09-07,0.67,3,324,11,MA19013341
6022,"2 bedrooms , quiet-local-clean perfect location",2850,Janos,,XIII. kerület,47.51481,19.04871,Entire home/apt,23881,2,57,2025-05-30,0.31,3,316,10,
15304,Astoria Station Private Triple Room by Budapesting,60010,Zsuzsanna,,VII. kerület,47.4953,19.06096,Private room,98397,200,270,2025-06-26,1.42,34,304,4,MA19003534
15306,Synagogue Residence Private Room by Budapesting,60010,Zsuzsanna,,VII. kerület,47.4953,19.06096,Private room,23007,200,269,2025-07-11,1.45,34,304,6,MA19003534
15307,Jewish District Private Triple Room by Budapesting,60010,Zsuzsanna,,VII. kerület,47.4953,19.06096,Private room,23427,200,261,2025-06-05,1.44,34,304,3,MA19003534
15308,Central Avenue Panorama Terrace by Budapesting,60010,Zsuzsanna,,V. kerület,47.50413,19.05463,Private room,24712,2,140,2025-08-14,0.73,34,9,2,MA19006827
15309,Grandious Parliament View Penthouse by Budapesting,60010,Zsuzsanna,,V. kerület,47.5043,19.05416,Entire home/apt,54564,2,517,2025-09-18,2.78,34,224,90,MA19006827
15310,Oktogon Square Twin Private Room by Budapesting,60010,Zsuzsanna,,VII. kerület,47.50429,19.06764,Private room,23111,2,211,2025-09-15,1.12,34,17,3,MA22053857
15311,Andrássy Avenue King & Queen Twin by Budapesting,60010,Zsuzsanna,,VII. kerület,47.50429,19.06764,Private room,25014,2,187,2025-01-06,1.00,34,17,1,MA22053857
15313,Central Astoria Station Residence by Budapesting,60010,Zsuzsanna,,VII. kerület,47.4953,19.06096,Entire home/apt,45347,2,185,2025-09-19,1.04,34,304,47,MA19003534
15314,Budapesting's Parliament View Terrace Triple AC,60010,Zsuzsanna,,V. kerület,47.50413,19.05463,Private room,24445,2,9,2023-09-09,0.05,34,9,0,MA19006827
15315,Central Deluxe Király st. Residence by Budapesting,60010,Zsuzsanna,,VII. kerület,47.50429,19.06764,Entire home/apt,27482,2,231,2025-09-22,1.37,34,318,79,MA22053857
27610,Wellness apartment with sauna and huge bathtub,119397,Akos,,XIII. kerület,47.51636,19.04997,Entire home/apt,,364,164,2020-02-16,0.92,2,0,0,
33301,Elegant Home in Town Center,144371,Julie,,VI. kerület,47.50721,19.06148,Entire home/apt,29946,30,7,2025-07-31,0.05,1,194,1,
33474,(P1/SZA) City center apartment at River Danube,144924,Andras,,V. kerület,47.49357,19.05515,Entire home/apt,18734,3,503,2025-08-28,2.91,5,109,47,MA19014295
33480,(P2/SZA) Quiet place in heart of the city center,144924,Andras,,V. kerület,47.49357,19.05515,Entire home/apt,14261,3,435,2025-09-04,2.54,5,187,37,MA19014295
33498,(A/SZA) Central apartment with balkony,144924,Andras,,VII. kerület,47.49777,19.05678,Entire home/apt,13421,3,521,2025-09-04,3.00,5,117,37,MA19014278
38620,Roomy studio A/C&WiFi next Oktogon,165612,Georgie,,VI. kerület,47.50529,19.06878,Entire home/apt,58717,25,52,2016-05-30,0.30,2,86,0,
48250,(B1/SZA) Quite and cheap apartment in city center,144924,Andras,,IX. kerület,47.48344,19.06646,Entire home/apt,9563,3,349,2025-09-08,2.19,5,200,33,MA19014285
48632,"(B2/SZA) Quiet,cozy and nice apartment in the city",144924,Andras,,IX. kerület,47.48291,19.06691,Entire home/apt,10066,3,311,2025-08-24,1.95,5,229,22,MA19014285
57726,Vaci Utca apartment at the River,155859,Flora,,V. kerület,47.48839,19.05451,Entire home/apt,33057,2,138,2025-08-22,0.78,3,167,10,MA24098254
68700,"Spacious, 3-Bedroom Apartment at Opera House",341817,Orsolya,,VI. kerület,47.503677,19.060095,Entire home/apt,22995,2,230,2025-09-07,1.31,1,310,23,MA19022160
71550,TOP Central & Quiet 3 Bedroom Home at Basilica +AC,366648,Judit,,V. kerület,47.50002670288086,19.05094337463379,Entire home/apt,76946,2,416,2025-09-21,2.36,1,173,54,MA19016378
75322,Cosy & Elegant stay in central location in 7th dis,399548,Katalin,,VII. kerület,47.49721,19.0612,Entire home/apt,51429,4,174,2025-09-13,1.15,3,184,35,MA19015037
