id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44077,cosy comfortable Irish cottage twin,193005,Teresa,,Dn Laoghaire-Rathdown,53.29178,-6.25792,Private room,86,3,394,2025-09-13,2.23,2,9,37,
85156,Cosy Comfortable Irish Cottage  1 Double Bed,193005,Teresa,,Dn Laoghaire-Rathdown,53.29209,-6.25624,Private room,,3,357,2025-09-14,2.05,2,7,41,
159889,Friendly Single Room,766611,Marie,,Dublin City,53.39027,-6.23547,Private room,48,2,464,2025-09-14,2.82,3,312,20,
162809,5.5 miles south of Dublin City :^),777681,Robbie,,Dn Laoghaire-Rathdown,53.28326,-6.19188,Private room,101,2,397,2025-09-11,3.17,2,7,8,
237465,Cozy 1 bed apt 10 mins to airport. total privacy,1245198,Amanda,,Dublin City,53.39558,-6.17524,Entire home/apt,,1,599,2025-09-09,3.58,3,134,60,
245903,Single cosy bedroom in Lucan.,1289720,Sheila,,South Dublin,53.34596,-6.41719,Private room,30,30,51,2025-08-31,0.32,1,25,4,
274969,Penthouse 2 Bed / 2 Bath in Historic Quarter,1269285,Andrew,,Dublin City,53.34388,-6.31593,Entire home/apt,,4,10,2025-08-20,0.06,1,0,8,
292757,Old World Converted Stables with Swimming Pool.,1515549,Sarah,,Dublin City,53.36949,-6.34889,Entire home/apt,130,2,507,2025-09-13,3.19,1,117,45,
302554,Peaceful retreat for 5 - excellent location,1557844,Liam And Fiona,,Dublin City,53.35681,-6.29094,Entire home/apt,177,2,78,2025-06-02,0.47,8,264,2,
302634,Studio sleeps 2 city ctr 10 mins - Molly Malone,1557844,Liam And Fiona,,Dublin City,53.35681,-6.29094,Entire home/apt,87,2,180,2025-07-10,1.09,8,143,26,
333950,Best location in Dublin City Centre,1607393,Daragh,,Dublin City,53.341997210593505,-6.27368487417698,Private room,,2,304,2025-09-12,1.86,3,12,18,
419987,Stunning Victorian apartment slps 6 - James Joyce,1557844,Liam And Fiona,,Dublin City,53.35682,-6.29132,Entire home/apt,198,2,182,2025-08-02,1.16,8,284,10,
424596,Very Special Oval Georgian Studio,2110301,Karin,,Dublin City,53.355545,-6.258094,Entire home/apt,161,2,679,2025-08-18,4.21,4,148,37,
426326,Large room with double & single Bed,766611,Marie,,Dublin City,53.39027,-6.23547,Private room,135,1,267,2025-08-09,1.66,3,5,1,
427077,Unique Oval Georgian Studio Gr. Fl.,2110301,Karin,,Dublin City,53.35572,-6.25803,Entire home/apt,173,2,630,2025-09-01,3.87,4,166,33,
427495,Lovely attic room with double bed,766611,Marie,,Dublin City,53.39027,-6.23547,Private room,112,1,189,2025-08-17,1.19,3,351,1,
451611,Best location balcony St Patrick's view,1607393,Daragh,,Dublin City,53.3404,-6.27256,Entire home/apt,162,1,676,2025-09-12,4.18,3,29,54,
