id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42515,Geneva center - Hosting females,185647,Noelle,,Commune de Genève,46.20198,6.15672,Private room,89,3,82,2025-07-11,0.48,1,361,4,
203997,Top location studio 1 block from lake!,1001280,Mike,,Commune de Genève,46.19964,6.1558,Entire home/apt,136,5,98,2025-08-16,0.62,2,259,10,
276025,Lovely flat by Geneva lake,1442438,Gaby,,Versoix,46.28031,6.16833,Entire home/apt,81,7,123,2025-07-20,0.75,1,299,3,
338682,Top location 1 block from the lake!,1001280,Mike,,Commune de Genève,46.20708,6.15545,Entire home/apt,,6,130,2025-09-20,0.79,2,0,12,
399388,Nice modern bedroom with balcony,1994454,Oscar,,Commune de Genève,46.18904,6.13908,Private room,55,2,61,2025-08-01,0.38,2,301,7,
419631,Beautiful Apm't in central Geneva (NB Guest Room),2086993,Mark,,Commune de Genève,46.1995,6.17308,Private room,100,2,83,2025-06-06,0.55,2,236,2,
626512,Design apartment 2 blocks from lake,3110118,Enrica,,Commune de Genève,46.2114,6.15107,Entire home/apt,,28,62,2025-07-31,0.39,1,13,11,
649023,Artistic studio in Geneva Old Town,2375758,Eliora Elena,,Commune de Genève,46.20175,6.14852,Entire home/apt,93,1,200,2025-09-10,1.26,1,193,47,
664917,"Centre, elegant and quiet (long stay possible)",3359333,Jean-Luc,,Commune de Genève,46.20542,6.12802,Entire home/apt,,300,47,2024-08-30,0.30,4,268,0,
693976,Suite overlooking Geneva & Mt Blanc,3550575,Ramon,,Commune de Genève,46.21716,6.13978,Entire home/apt,,2,51,2017-02-09,0.32,1,0,0,
699903,"Elegant studio, direct bus UN, WIPO, WHO, ILO, WTO",3359333,Jean-Luc,,Commune de Genève,46.2067,6.12949,Entire home/apt,,999,4,2023-02-05,0.06,4,269,0,
706264,Cosy and very central apartment,3629403,Louis,,Commune de Genève,46.211998,6.150082,Entire home/apt,112,7,150,2025-07-10,0.98,1,215,8,
728403,Welcome to the heart of Geneva close to ONU WI-FI,3778243,Lucia,,Commune de Genève,46.21404,6.12431,Entire home/apt,,1,54,2022-08-28,0.34,4,0,0,
741176,Two bedroom apartment in Plainpalai,3566383,First,,Commune de Genève,46.19788,6.13691,Entire home/apt,302,4,24,2020-08-29,0.16,3,365,0,
751882,Apartment in the center of Geneva,777025,Maysoon,,Commune de Genève,46.20234,6.1621,Entire home/apt,177,3,73,2023-01-02,0.58,2,364,0,
751941,Double bed on a mezzanine floor,777025,Maysoon,,Commune de Genève,46.20282,6.16197,Private room,76,1,76,2025-07-11,0.60,2,365,2,
765191,"Cosy flat in the city, nearby the lake.",4034142,Lise & Olivier,,Commune de Genève,46.20513,6.16157,Entire home/apt,,2,26,2019-05-05,0.20,1,0,0,
766186,Stylish Loft - Amazing Views,3987132,Dave,,Commune de Genève,46.20146,6.13148,Entire home/apt,140,2,242,2025-07-23,1.57,1,125,15,
775934,Charming little nest centre of Geneva WI-FI ONU,3778243,Lucia,,Commune de Genève,46.2116,6.12765,Private room,75,14,28,2025-03-01,0.18,4,179,1,
800449,Duplex Loft 136m2 Converted St Jean Watch Factory,4214439,Lucas,,Commune de Genève,46.20442,6.12666,Entire home/apt,,3,31,2025-08-11,0.20,1,0,1,
899661,Superb fully furnished and equipped,4896475,Ruth,,Genthod,46.25937,6.14957,Entire home/apt,222,12,1,2023-04-30,0.03,1,136,0,
909957,Geneva downtown white apartment,325495,Pierre,,Commune de Genève,46.20508,6.13086,Entire home/apt,171,10,306,2025-09-12,2.39,4,311,3,
914760,Your suite in Geneva,4910312,Claris,,Commune de Genève,46.19201,6.15662,Entire home/apt,150,7,13,2023-05-27,0.09,4,89,0,
935428,A jewel in Geneva center - Champel,4910312,Claris,,Commune de Genève,46.19202,6.15335,Entire home/apt,140,7,5,2022-06-30,0.05,4,89,0,
952342,Chic loft in the Geneva countryside,952440,Dunja,,Meinier,46.23633,6.21691,Entire home/apt,140,3,13,2025-08-08,0.09,1,119,1,
952395,Bright Loft 115 sq with parkview,4249323,SimIldik,,Commune de Genève,46.18905,6.13824,Entire home/apt,160,3,44,2024-06-30,0.30,2,270,0,
1081909,Perfect location to United Nations,522480,Pierre O.,,Commune de Genève,46.21209,6.13035,Entire home/apt,120,2,76,2022-06-30,0.50,1,223,0,
1163211,Centre: Stylish room incl. free public transports,6370904,Peter,,Commune de Genève,46.20411,6.12994,Private room,84,1,273,2025-08-24,1.82,1,45,66,
