id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
187870,Luxury studio 'Spiegelhof' in the centre of Ghent,904277,Tamara,,Watersportbaan - Ekkergem,51.05247,3.70316,Private room,,2,427,2024-03-04,2.50,1,235,0,
203806,Flat close to Sint-Pieters Station!,999847,Jean Denis,,Watersportbaan - Ekkergem,51.04426,3.7127,Entire home/apt,125,5,340,2025-08-10,2.01,1,193,21,
252269,Large & bright town House - Center Ghent - max 8p,1195314,Anne-Sophie,,Elisabethbegijnhof - Papegaai,51.05059,3.71895,Entire home/apt,261,2,344,2025-09-25,2.10,1,229,43,
696209,Black & White studioB central Ghent,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,,90,39,2024-12-31,0.25,6,196,1,
743981,Black & White studioA central Ghent,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,91,90,26,2025-08-30,0.17,6,238,3,
835795,Koestraat 46,4369972,Koestraat 46,,Binnenstad,51.05277,3.72902,Entire home/apt,109,2,649,2025-09-22,4.25,1,185,86,
887716,Duplex studio F central Ghent,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,,90,11,2024-06-30,0.11,6,237,0,
1141163,Huis van Vletingen downtown apartment Ghent,5082339,Joost,,Binnenstad,51.04531,3.73526,Entire home/apt,97,2,165,2025-07-17,1.09,1,264,4,
1222069,B&B Marie Reine in old Monastry,5456443,Ruth,,Watersportbaan - Ekkergem,51.04997,3.70477,Private room,,2,424,2024-06-21,2.84,2,0,0,
1339383,"Heaven@11, your charming studio in historic Gent.",7258638,Ina,,Binnenstad,51.05823,3.72194,Entire home/apt,,4,51,2025-07-28,0.35,2,56,4,
1418588,"Modern house w pool,near Ghent,2-8p",7640576,Stijn,,Sint Denijs Westrem,51.02246,3.66932,Entire home/apt,,3,66,2025-08-10,0.46,1,0,1,
1425838,Cosy room in green area,6976593,Hilde,,Mariakerke,51.07343,3.69184,Private room,48,7,27,2025-07-13,0.18,2,333,5,
1482891,"Cozy Private floor with Bedroom, Living, Bathroom",2091743,Paul,,Dampoort,51.04821,3.75034,Private room,57,2,130,2025-08-31,1.18,1,33,15,
1627743,band resort 0.1,8651909,Gerald,,Binnenstad,51.05631,3.72768,Entire home/apt,139,5,229,2025-08-23,1.57,2,267,11,
1670943,Room in cosy and little house near centre of Ghent,5390128,Mieke,,Muide - Meulestede - Afrikalaan,51.07408905029297,3.7324869632720947,Private room,77,1,61,2025-07-20,0.46,3,89,17,
1754719,Band Resort 1.1. - Rent Appartment,9228510,Vincent,,Binnenstad,51.05449,3.72634,Entire home/apt,336,2,334,2025-09-21,2.31,1,316,40,
1981738,Small loft + private bathroom,10225820,Peter,,Oud Gentbrugge,51.04052,3.74554,Private room,51,2,387,2025-09-09,2.71,1,314,31,
2043584,Lounge in the Intimate Urban Garden at a Retro Getaway,10479270,Nina,,Elisabethbegijnhof - Papegaai,51.0577,3.71475,Entire home/apt,92,2,643,2025-09-06,4.51,1,227,39,
2082353,"Cosy, sunny and spacious house with city garden",9075008,Wouter,,Ledeberg,51.03942,3.74241,Entire home/apt,155,2,201,2025-08-17,1.41,1,26,14,
2138676,Appartement Centrum aan Water “roomS with a view”,10913980,Alice,,Macharius - Heirnis,51.04414,3.73911,Entire home/apt,124,2,103,2025-08-21,0.72,1,237,3,
2216415,A Bright Apartment in Ghent (50m²),11304146,Kristof,,Macharius - Heirnis,51.05463,3.73745,Entire home/apt,51,90,86,2025-07-28,0.60,4,299,10,
2398101,Ingericht appartement aan de rand van de stad,5298594,Isabelle,,Ledeberg,51.034763,3.734547,Entire home/apt,95,3,27,2024-06-25,0.34,1,1,0,
2471516,Appartement center Ledeberg,12637432,Pieter,,Ledeberg,51.03788804155838,3.7485871682617056,Entire home/apt,,4,2,2024-07-21,0.12,1,0,0,
2495356,Entrée d'Artistes@GhentHistoricalCentre,12772331,Ann,,Sluizeken - Tolhuis - Ham,51.06135,3.72523,Private room,60,1,508,2025-09-23,3.64,1,143,37,
2525482,Located 3 km from center . ( room ),12931085,Koen,,Bloemekenswijk,51.07502,3.70798,Private room,185,1,0,,,1,365,0,
2604886,Gezellig huisje langs het Kanaal,13340654,Dirk,,Mariakerke,51.07425,3.68447,Entire home/apt,92,3,33,2025-06-10,0.26,1,42,5,
2702324,Luxury Loft,13829824,Francis,,Muide - Meulestede - Afrikalaan,51.08058,3.72903,Entire home/apt,65,14,41,2025-06-09,0.30,8,311,5,
3120783,Villa-Emma - 3000m2 tuin:Tilia,15853573,Georges,,Sint Amandsberg,51.075,3.75642,Private room,125,2,9,2023-05-09,0.07,2,285,0,
3124062,Villa-Emma - 3000m2 tuin:Acacia,15853573,Georges,,Sint Amandsberg,51.07558,3.75869,Private room,145,2,8,2022-04-24,0.06,2,281,0,
3611653,Charming duplex in historical center,18198634,Isabelle,,Binnenstad,51.05312,3.72556,Entire home/apt,247,2,455,2025-08-22,3.35,1,29,35,
3803585,Beautiful and comfortable bedroom,19543730,Vera,,Binnenstad,51.05089,3.73527,Private room,54,2,109,2021-08-15,0.81,1,69,0,
3831324,Home Trietje 1 **,19054548,Ly,,Mariakerke,51.072,3.68585,Entire home/apt,202,6,30,2025-07-11,0.23,2,240,4,
3951890,Apartment with a view(20%off due to terrace works),17773318,Philip En Fabi,,Ledeberg,51.03511,3.73769,Entire home/apt,50,45,204,2025-07-06,1.51,1,209,2,
4104274,"Room in nice appt 15min walk to centre, free bikes",21290432,Sofie,,Binnenstad,51.03752,3.73251,Private room,54,3,181,2025-08-07,1.35,1,207,10,
4397066,Open studio,11304146,Kristof,,Brugse Poort - Rooigem,51.06002,3.69982,Entire home/apt,40,90,24,2025-07-31,0.19,4,239,2,
4458417,house with 3 bedrooms and garden,6316738,Lies,,Brugse Poort - Rooigem,51.06145,3.69534,Entire home/apt,,60,12,2024-08-13,0.09,1,0,0,
4550799,Artist habitat in the center (6pax),23595340,Gaby,,Binnenstad,51.05636,3.72161,Private room,,2,123,2025-09-22,0.94,2,295,12,
4589336,B&B cozy whole apartment,23789053,Tobby,,Nieuw Gent - UZ,51.02826,3.73011,Entire home/apt,,1,544,2025-08-23,4.13,1,0,30,
4645775,"Charming & historic villa, garden + free! parking",5438353,Sofie,,Stationsbuurt Noord,51.03855,3.71455,Entire home/apt,271,2,390,2025-09-14,3.25,1,313,46,
4696196,Artist habitat in the center (2pax),23595340,Gaby,,Binnenstad,51.0571,3.72195,Private room,116,2,59,2025-07-14,0.45,2,270,7,
4733566,Spacious 3br family villa with big garden,14003598,Elfie,,Sint Denijs Westrem,51.02949,3.68237,Entire home/apt,,3,37,2025-08-19,0.28,1,0,2,
5224982,Water side stay in art deco cabin,13829824,Francis,,Muide - Meulestede - Afrikalaan,51.07564,3.72872,Entire home/apt,111,2,277,2025-09-05,2.14,8,348,10,
5273113,Your home for a stay of minimum 5 nights.,27297880,Kristiaan,,Stationsbuurt Noord,51.03323,3.72638,Private room,76,5,26,2025-07-09,0.31,1,48,9,
5303608,La cabane,18097910,Gino,,Dampoort,51.059704,3.74287,Entire home/apt,73,1,1114,2025-09-21,8.64,1,285,103,
5498400,"Entre dos aguas, next to a citypark",310389,Dirk,,Macharius - Heirnis,51.04442,3.73858,Entire home/apt,115,7,134,2024-09-28,1.05,1,56,1,
5590250,"Modern, Luxurious, Quiet",28983914,Birger,,Stationsbuurt Zuid,51.02916,3.71097,Private room,54,5,116,2025-07-24,0.92,1,325,4,
5694820,Baudelo's duplex apartment (air conditioning),29523955,Anne-Marie,,Binnenstad,51.05792,3.72885,Entire home/apt,180,2,369,2025-09-07,2.88,1,8,5,
5799277,StudioD,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021286010742,3.716377019882202,Entire home/apt,,90,1,2024-06-30,0.07,6,237,0,
5908287,Maxi LOFT (200m2) met parking,29314978,Martine,,Brugse Poort - Rooigem,51.05444,3.69854,Entire home/apt,175,2,286,2025-09-21,2.31,1,283,31,
6054825,Bright apt. with free parking and free bicycles,757037,Wim,,Mariakerke,51.07254,3.69211,Entire home/apt,99,2,377,2025-09-24,2.97,1,309,15,
6441548,FoudeGand.be - For Expats & Business Travellers,33631603,Peter,,Binnenstad,51.04678,3.73412,Entire home/apt,93,14,82,2025-08-04,0.69,1,269,5,
6807238,Uniek huisje in tuin centrum Gent,5050531,Bart,,Sluizeken - Tolhuis - Ham,51.06087,3.72955,Entire home/apt,90,2,92,2025-08-31,0.74,1,355,11,
6918908,Private and peaceful studio,10349286,Amanda,,Zwijnaarde,50.99797,3.71587,Entire home/apt,76,1,59,2025-08-15,0.47,1,165,6,
7556348,RENOVATED DUPLEX IN THE CENTRE,3362271,Céline,,Sluizeken - Tolhuis - Ham,51.06423,3.72795,Private room,75,2,279,2025-08-27,2.27,1,345,13,
7568806,Citycentre design app+garage+breakf,39681783,Ben/Barbara,,Binnenstad,51.05852,3.72578,Entire home/apt,108,1,887,2025-09-14,7.18,1,282,109,
7683600,Studio Guarda La Fotografia - Ghent,40352209,Filip,,Binnenstad,51.0516,3.7258,Entire home/apt,89,1,652,2025-09-17,5.39,2,306,72,
7906845,"Complete renovated house, spacious!",7679698,Wim,,Brugse Poort - Rooigem,51.06161,3.69804,Entire home/apt,142,5,88,2025-07-15,0.72,2,182,4,
7906941,"Volledig huis,alle comfort,privacy!",7679698,Wim,,Brugse Poort - Rooigem,51.06162,3.69804,Entire home/apt,142,5,168,2025-09-11,1.37,2,182,13,
7918142,"Peaceful, surrounded by nature & with parking spot",12733830,Jelle,,Brugse Poort - Rooigem,51.05387,3.69125,Entire home/apt,120,28,93,2025-08-17,1.24,1,33,6,
8077970,Loft Lien in Gent Centrum,42670243,Herlinde,,Watersportbaan - Ekkergem,51.05264,3.70734,Entire home/apt,,2,82,2025-07-27,0.68,1,0,9,
8347942,Spacious loft in the historical centre,39837750,Laurens,,Elisabethbegijnhof - Papegaai,51.05237,3.72016,Entire home/apt,106,3,498,2025-09-06,4.39,1,60,37,
8366610,Sunny & Stylish Loft in the Heart of the Old Town.,20327558,Dirk,,Binnenstad,51.053260803222656,3.7232909202575684,Entire home/apt,116,4,228,2025-09-20,1.87,1,303,29,
8482980,Spacious house with big garden close to the city,24314613,Klaas,,Sint Amandsberg,51.0644,3.75372,Entire home/apt,135,2,4,2025-07-20,0.06,1,219,3,
8744894,Cozy Apartment with Patio by the Water,143141833,Nicole,,Binnenstad,51.05665,3.73258,Entire home/apt,,2,149,2025-09-21,1.50,1,11,32,
8963647,2 Bedroom apartment centre Ghent,14549050,Wouter,,Elisabethbegijnhof - Papegaai,51.0547,3.71088,Entire home/apt,178,2,83,2025-08-10,0.71,1,93,3,
9024440,Authentic charm in medieval quarter,13037514,Marie-Catherine,,Binnenstad,51.056697985252185,3.72259518971374,Private room,72,1,376,2025-09-18,3.11,1,12,72,
9048939,Breathtaking Views in ❤ of Ghent with Hot Tub,17321727,Bert,,Elisabethbegijnhof - Papegaai,51.05314,3.72057,Entire home/apt,119,3,254,2025-09-08,2.11,1,215,51,
9213284,Furnished 2 person apartment for rent in Ghent,25065540,Rambert,,Zwijnaarde,51.01242,3.70261,Entire home/apt,53,60,3,2025-07-06,0.04,1,179,1,
9895777,Studio lumineux et confortable,38437518,Catherine,,Stationsbuurt Zuid,51.03602,3.70269,Entire home/apt,80,4,106,2025-08-29,0.90,1,352,20,
10093174,comfortable charming studio near StPieters station,51792074,Joris,,Stationsbuurt Noord,51.04151,3.70874,Entire home/apt,92,14,18,2019-11-13,0.15,1,365,0,
10175227,appartement in herenhuis in historisch centrum,52080636,Wouter,,Elisabethbegijnhof - Papegaai,51.05434,3.7142,Entire home/apt,116,2,237,2025-09-18,5.78,1,214,70,
10201604,Well-situated and Comfortable Home.,1792071,Sabine,,Stationsbuurt Zuid,51.03194,3.72416,Entire home/apt,118,1,577,2025-09-26,4.89,1,310,72,
10325779,Charming old center apartment,53135103,Aris,,Binnenstad,51.0582,3.72109,Entire home/apt,104,1,818,2025-09-12,6.93,3,154,66,
10350818,Old Mansion House Apartment,23333629,Mia,,Binnenstad,51.04422,3.72189,Entire home/apt,,5,95,2025-02-24,0.81,1,0,1,
10831917,Spacious apartment with terrace.,56088666,Lieven,,Sint Amandsberg,51.06125,3.7579,Entire home/apt,88,7,7,2025-08-12,0.06,1,345,2,
11308674,Luxurious suite in the historic centre of Ghent,28517059,Astrid & Gilles,,Binnenstad,51.0564,3.7231,Entire home/apt,189,1,299,2025-09-16,4.88,3,332,23,
11520446,Gezellige kamer,16056459,Line,,Oostakker,51.10639,3.77011,Private room,42,5,49,2025-09-17,0.42,1,233,3,
11538310,"Bright 2 to 4 persons room nearby river ""De Leie""",39312954,Tamara,,Drongen,51.03781,3.66624,Private room,69,2,39,2025-08-10,0.35,2,21,9,
11939475,Appartement on the ground floor with terras,60345129,Imschoot,,Elisabethbegijnhof - Papegaai,51.05253,3.71447,Entire home/apt,76,2,479,2025-09-20,4.18,1,341,51,
12078829,Couch in a shared room,64731047,Ashkan,,Brugse Poort - Rooigem,51.0635694666133,3.6985259390243286,Shared room,33,1,0,,,1,268,0,
12103538,Living The Dream - A Hidden Gem,64426079,Bart,,Binnenstad,51.05424,3.72308,Entire home/apt,490,2,191,2025-09-12,1.67,2,297,21,
12199107,Welcome in our beautiful house,65585483,Annelies,,Sluizeken - Tolhuis - Ham,51.06212,3.72779,Private room,65,2,460,2025-09-17,3.99,1,287,44,
12423613,New duplex guesthouse,24194314,Caroline,,Dampoort,51.05547,3.74228,Entire home/apt,85,1,483,2025-09-19,4.28,1,339,67,
12669634,Apartment with sunny terrace!,68837626,Sien,,Muide - Meulestede - Afrikalaan,51.07465,3.72804,Entire home/apt,107,3,53,2025-09-12,3.08,1,139,41,
