id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14551,Cozy & Colorful by Nature (Private Room),57237,Mun,,Girona,41.99517,2.83667,Private room,45,2,79,2025-06-14,0.44,1,341,15,HUTG-049542
45400,Begur - Loft - Costa Brava - SPAIN,201228,Oscar,,Begur,41.95586,3.21224,Entire home/apt,122,1,439,2025-06-30,2.49,1,327,24,
48764,18th C Stone House near Costa Brava,220145,,,Torroella de Fluvià,42.17604,3.03782,Entire home/apt,157,5,41,2025-06-24,0.24,1,10,1,ESFCTU00001700800064674700000000000000000HUTG-0002070
78282,Bonita casa rodeada de verde campo,420443,Jordi,,Torroella de Fluvià,42.17358,3.04519,Entire home/apt,,6,0,,,1,0,0,HUTG-021245
101580,"Villa ZEN costa brava ,700m port,beach & restauran",532063,Xavier,,Lloret de Mar,41.70754,2.88858,Entire home/apt,959,4,27,2025-06-01,0.27,1,112,2,HUTG-015230
106704,Casa rural cerca de la playa,553059,Laura,,Llagostera,41.83841,2.93856,Entire home/apt,265,1,33,2025-03-23,0.19,4,298,5,PG-002599
121666,Costa brava sun and beach,611063,Alicia,,Torroella de Montgrí,42.01023,3.19079,Entire home/apt,104,5,79,2025-06-20,0.54,1,300,14,HUTG-012492-54
121962,Amplia masia cerca del mar,553059,Laura,,Llagostera,41.84007,2.94776,Entire home/apt,508,1,35,2025-05-18,0.23,4,306,4,PG-000599
122273,Hermosa casa cerca de la playa,553059,Laura,,Llagostera,41.84115,2.95071,Entire home/apt,93,1,56,2025-06-01,0.35,4,286,12,
131374,"Charming house in Costa Brava, near Girona",646551,Jesús,,Riudarenes,41.82211,2.71769,Entire home/apt,252,2,12,2023-05-31,0.09,1,355,0,PG000877
168832,Villa with pool - Emporda / Girona - HUTG-026514,804674,Jordi,,Saus,42.12541,2.93686,Entire home/apt,,7,20,2024-08-24,0.14,1,9,3,HUTG-020858
207996,"Estudio Anna en casa ecológica, Costa Brava. Rupià",1023612,Mercè,,Rupià,42.01746368408203,3.0101780891418457,Entire home/apt,161,5,14,2023-08-29,0.11,2,316,0,HUTG-011718
212386,Charming barn in Mas Simon,1090843,Roger,,Esponellà,42.16912,2.78186,Entire home/apt,142,2,80,2025-04-18,0.51,1,150,5,PG-000904
254100,Stone villa Costa Brava,1205693,Ester,,Ventalló,42.14882,3.02667,Entire home/apt,95,1,5,2024-08-19,0.03,1,354,1,Exempt
262941,Penthouse in front of the sea-210M2,1379849,Inmaculada,,Palafrugell,41.92025,3.21381,Entire home/apt,600,7,41,2023-07-22,0.28,1,308,0,HUTG-049963
265647,Canigó (Can Llobet)  PG-455,1393119,Can Llobet Rural,,Capmany,42.37355,2.92054,Entire home/apt,227,7,72,2025-04-05,0.50,8,308,8,PG-000455
273037,cal ros,1428767,Joelle,,Palafrugell,41.91011,3.15566,Entire home/apt,85,2,102,2025-04-20,0.65,1,312,11,HUTG-009615
280968,Spend quiet vacation near the sea,1455476,Joseph,,Palamós,41.86124,3.14769,Entire home/apt,124,2,127,2025-06-29,0.81,1,207,21,
285968,Quiet times by the riverside,1488322,David,,Girona,41.9858756,2.8247884,Entire home/apt,65,3,320,2025-06-14,2.05,1,213,43,HUTG-000121
304363,"Bright, Riverside Apartment No 4 close to old town",153805,Karen,,Girona,41.98964,2.82356,Entire home/apt,68,5,124,2025-04-16,0.78,2,79,13,
323402,"Villa Fluvia: 1200m city, swimming pool, sea view",1554685,Geny,,Lloret de Mar,41.7132,2.85667,Entire home/apt,833,2,26,2025-06-20,0.38,1,319,7,HUTG-023733
336151,"Girona, Spain - Can Bici - Sleeps 3-4",1711073,Marty,,Girona,41.97516,2.82959,Entire home/apt,119,2,47,2025-03-08,0.38,1,277,3,HUTB-032080
349360,Quiet apartment in Girona,725885,Oriol,,Girona,41.98876,2.83008,Entire home/apt,85,4,161,2025-06-14,1.02,1,97,6,HUTG-018697
378198,BEAUTIFUL HOUSE Sea Views in TOSSA,1298586,Cristian,,Tossa de Mar,41.71809,2.92824,Entire home/apt,387,2,60,2025-06-20,0.41,124,78,20,HUTG-011068
398377,CAMA EN UNA CASA DE LA COSTA BRAVA,1989406,Mari,,Begur,41.95527,3.20726,Private room,67,2,269,2025-06-28,1.68,3,62,21,HUTG-017806
406360,Horta III - Loft - Cadaqués,2005696,Nieves,,Cadaqués,42.28822,3.28138,Entire home/apt,162,4,101,2024-08-27,0.69,6,269,6,HUTB-001166
406377,Horta IV - Loft - Cadaqués,2005696,Nieves,,Cadaqués,42.29017,3.28065,Entire home/apt,195,2,95,2024-08-24,0.60,6,357,4,HUTB-001167
406398,Horta V - Dúplex - Cadaqués.,2005696,Nieves,,Cadaqués,42.28877,3.28051,Entire home/apt,200,4,52,2024-09-22,0.33,6,342,8,HUTB-001168
419252,Beaches! Castle Home With Chic Modern Interior A/C,1030877,Kristen,,"Cruïlles, Monells i Sant Sadurní de l'Heura",41.95478057861328,3.010931968688965,Entire home/apt,360,3,62,2024-08-26,0.40,3,303,2,HUTG-021814
424026,Attractive apartment in Costa Brava,1298586,Cristian,,Tossa de Mar,41.72036,2.93164,Entire home/apt,153,1,61,2025-06-20,0.46,124,145,12,HUTG-011072
438243,"Beautiful house with piscina, spa and BBQ",2176453,Esther,,Maçanet de Cabrenys,42.38554,2.744854,Entire home/apt,345,2,24,2025-06-01,0.22,2,45,5,hutg-015655
438245,"Apartment 4 pax, 150 m from Sea",2176194,Saltviver SL,,L'Escala,42.12328,3.13526,Entire home/apt,107,5,95,2025-05-03,0.60,1,297,8,HUTB-020267
443464,House for group St Jaume de Llierca,1835625,Georgina,,Sant Jaume de Llierca,42.21298,2.60775,Entire home/apt,158,2,70,2025-05-04,0.74,2,221,5,HUTG-010126
455622,Llança - Cataluña - family holidays,2264291,Régis,,Llançà,42.368106842041016,3.1641480922698975,Entire home/apt,71,6,65,2025-06-01,0.41,1,61,4,HUTG-044358
474284,"Cap Bonifaci Barca, beach @ 20 m",1990392,Enric,,Roses,42.2441,3.19973,Entire home/apt,307,7,14,2024-08-17,0.10,1,326,2,HUTG-017359
478912,Charming house by the sea Cadaqués,2372082,María,,Cadaqués,42.28686,3.28938,Entire home/apt,472,5,37,2025-05-03,0.23,1,303,1,HUTG-011565
479972,BEAUTIFUL HOUSE in TOSSA DE MAR,1298586,Cristian,,Tossa de Mar,41.71809,2.92824,Entire home/apt,500,2,23,2024-06-22,0.14,124,91,0,HUTG-011068
484066,APARTMENT SEA VIEWS in COSTA BRAVA,1298586,Cristian,,Tossa de Mar,41.71765,2.92868,Entire home/apt,313,1,89,2025-06-05,0.62,124,137,15,HUTG-011070
506095,ST. Antoni de Calonge-COSTA BRAVA -frontline,2494825,Maria LL,,Calonge,41.84278,3.09798,Entire home/apt,163,5,9,2024-07-11,0.06,1,128,1,HUTG-055345
516474,CAMA EN UNA CASA DE COSTA BRAVA 2,1989406,Mari,,Begur,41.95635,3.2079,Private room,66,2,94,2025-06-24,0.66,3,60,12,HUTG-017806
520236,"Lloret de Mar, 5 min to the beach!",1835600,Alexander,,Lloret de Mar,41.70102,2.84636,Entire home/apt,,35,87,2024-07-08,0.55,1,0,1,
520607,El Badiu d'Alemanys 5,2561441,Joan Manuel,,Girona,41.98599,2.8277,Entire home/apt,324,5,32,2025-04-12,0.25,3,224,9,HUTG-014776
520743,"Can Roure, la Fageda d'en Jordà",2541570,Eugeni,,Santa Pau,42.14477,2.5005,Entire home/apt,140,2,321,2025-06-22,2.04,1,299,23,HUTG-015659
527021,Front Row View of Roses Bay,2324496,Franck,,Roses,42.24713,3.18406,Entire home/apt,222,3,180,2025-06-08,1.23,1,153,15,HUTG-016278
528521,Casa Rabòs beautiful country house!,2596794,Natacha,,Rabós,42.37955,3.02685,Entire home/apt,214,3,55,2024-08-10,0.37,4,321,2,HUTG-021835
528549,The sea at your feet in Cadaquès,2596935,Marion,,Cadaqués,42.27975,3.27751,Entire home/apt,444,4,38,2025-06-24,0.26,1,250,5,
533779,Cozy apartment with big terrace in S'Agaró,2623666,Lluis,,Castell-Platja d'Aro,41.79797,3.04926,Entire home/apt,102,4,46,2025-06-22,0.29,1,207,4,HUTG-019065
537046,Charming house in Costa Brava,2637736,Ana,,Castell-Platja d'Aro,41.83088,3.07543,Entire home/apt,146,2,39,2024-08-25,0.25,1,343,3,HUTG-025631
538802,"Un espacio agradable, amplio y cerca de la PLAYA",2468919,Júlia,,Portbou,42.4266,3.16041,Private room,37,2,179,2025-06-08,1.15,1,114,16,
539975,"Unique cosy holiday paradise, in nature!",1506816,Jacqueline & Xavi,,Vidreres,41.77852,2.84421,Entire home/apt,195,2,161,2025-06-23,1.02,1,100,15,HUTG-046087
541344,Beautiful Villa Mare Llafranc,2161783,Jose Maria,,Palafrugell,41.89455,3.1935,Entire home/apt,899,5,33,2023-09-10,0.23,1,273,0,HUTG-012351
549163,Casa con piscina en la Costa Brava,2699942,Francesca,,Tossa de Mar,41.71829,2.90569,Entire home/apt,145,7,9,2024-08-24,0.11,1,310,2,HUTG-003850
553009,Charming Bungalow overlooking Tossa,2717895,Robby,,Tossa de Mar,41.72154,2.93579,Entire home/apt,189,3,61,2024-09-20,0.63,1,246,7,HUTG-024194
558914,"APART. 5 STARS. CON PISCINA, EN PLAYA FANALS",2735347,Jose Antonio,,Lloret de Mar,41.69676,2.83216,Entire home/apt,100,14,0,,,1,323,0,HUTG-003338
569528,Sant Feliu House Costa Brava,2803313,Jordi,,Sant Feliu de Guíxols,41.78639,3.04153,Entire home/apt,110,3,120,2025-06-07,0.82,3,187,8,HUTG-045001
580159,"Apartment with garden & views, near the beach",2854489,Marta,,Tossa de Mar,41.72356414794922,2.936445951461792,Entire home/apt,103,1,18,2025-06-05,0.12,1,307,3,HUTG-060887
582785,"Villalloret -vista mar, piscina privada,rural, Bbq",2870007,Isabel,,Lloret de Mar,41.71319,2.85748,Entire home/apt,226,7,88,2025-06-28,0.85,1,134,13,HUTG-019030
597347,"Lloret, Cozy apartment with views terrace parking.",2953511,Xavier David,,Lloret de Mar,41.70483,2.87003,Entire home/apt,136,4,47,2024-08-20,0.32,1,0,4,HUTG-017721
615412,Horta II - Cadaqués,2005696,Nieves,,Cadaqués,42.28823,3.28123,Entire home/apt,200,4,76,2024-08-23,0.57,6,334,7,HUTB-001158
621271,"Can Cirera, rural house in Girona",3079320,Jaume,,Serinyà,42.1715,2.74766,Entire home/apt,170,2,12,2024-08-17,0.08,1,303,2,PG-000234
628874,APARTMENT-LOFT PALAMOS. VERY CUTE!!,3124000,Cristina,,Palamós,41.84966,3.12305,Entire home/apt,132,2,58,2024-08-23,0.37,1,34,1,HUTG-016797
630599,Appartement Roses Piscine Vue Mer,3134961,Adrienne,,Roses,42.24982452392578,3.190912961959839,Entire home/apt,83,4,153,2025-06-07,1.24,1,201,16,HUTG-012215
638650,Caseta a Sant Antoni de Calonge,3186753,Laia,,Calonge,41.84163,3.09009,Entire home/apt,90,6,4,2024-09-21,0.17,1,33,3,HUTG-026195
643415,Apartment with garden near lake,3303625,Joan,,Banyoles,42.12426,2.76006,Entire home/apt,117,5,33,2025-06-14,0.22,1,312,3,HUTG-003551
644988,RURAL HOUSE IN PLA DE L'ESTANY.,3228921,Carlus,,Crespià,42.18794,2.79889,Entire home/apt,259,7,13,2024-04-27,0.13,1,277,0,PG-000411
658376,"Beautiful garden house, 100m to sea",3318869,Maria Asuncion,,Torroella de Montgrí,42.05348,3.19986,Entire home/apt,200,8,13,2024-09-16,0.09,1,289,2,HUTG-072445
662554,APARTAMENTO A 17 METROS DE LA PLAYA,3346361,Juan Antonio,,Calonge,41.8477,3.10845,Entire home/apt,112,3,5,2023-08-27,0.03,1,207,0,HUTG-009574
664499,Palamós Dúplex centro. Renovado!,3375051,Montse,,Palamós,41.84581,3.1276,Entire home/apt,158,3,88,2025-06-01,0.57,1,291,8,HUTG-022332
669086,Can Caranta: Catalina House,3387407,Enric & Gemma,,Pals,41.97039,3.14931,Entire home/apt,335,2,99,2025-06-03,0.64,5,170,18,HUTG-001745
669661,Can Felip - Apartamento 2 (s.XVIII),3387407,Enric & Gemma,,Palafrugell,41.91802,3.1642,Entire home/apt,153,2,80,2025-04-17,0.52,5,198,14,HUTG-006523
671251,Can Caranta: Aurora House,3387407,Enric & Gemma,,Pals,41.97043,3.14927,Entire home/apt,223,2,83,2025-06-09,0.61,5,188,12,HUTG-001746
679690,Apartamento en Peralada,3459542,Josefina,,Peralada,42.30794,3.00774,Entire home/apt,117,2,38,2024-12-15,0.35,1,299,4,PG-000109
684386,Отдых в течение всего года .,3489532,Alfredo,,Tossa de Mar,41.7165,2.93112,Entire home/apt,160,5,42,2024-08-27,0.29,1,318,2,HUTG-020274
695685,House in Costa Brava with salt pool,3561447,Margarita,,Calonge,41.86603,3.07679,Private room,62,1,97,2025-05-30,0.73,1,295,17,Exempt
704991,HOUSE WITH POOL AND BARBECUE,3622155,Carmina,,Cornellà del Terri,42.09975,2.78772,Entire home/apt,365,2,0,,,1,302,0,PG-000485
706549,Beautiful apartment with pool Tossa,1298586,Cristian,,Tossa de Mar,41.72387,2.92717,Entire home/apt,195,1,10,2024-09-02,0.08,124,142,1,HUTG-011062
714603,Rural House El Pati de L´Albera,3680160,Time Process,,Sant Climent Sescebes,42.36958,2.9803,Entire home/apt,274,2,50,2025-03-30,0.32,1,285,1,PG000794
721891,CENTURY FARMHOUSE APARTMENT XVI,3727284,Vilà,,La Cellera de Ter,41.97638,2.61334,Entire home/apt,77,2,242,2025-01-04,1.59,3,240,18,HUTG-017232
723935,Best terrace of Costa Brava,2966284,David,,Begur,41.96131,3.23035,Entire home/apt,269,4,36,2025-05-10,0.41,1,73,7,HUTG-033392
736891,Apartment-loft in Besalú,3846991,,,Besalú,42.19871,2.70036,Entire home/apt,80,2,135,2025-05-01,0.88,3,316,14,HUTG-000422
739436,Apartamento piscina | wifi | Garaje | Roses,3867330,Antoni,,Roses,42.26629,3.14653,Entire home/apt,,2,8,2021-01-03,0.06,2,0,0,HUTG-003690
745384,Dream Architect in Costa Brava,52356704,Valeria,,Begur,41.95601,3.21251,Entire home/apt,575,7,34,2025-05-03,0.26,1,308,5,HUTG-001233
751997,Can Felip - Ático loft del s.XVIII,3387407,Enric & Gemma,,Palafrugell,41.91798,3.16419,Entire home/apt,108,2,54,2025-04-30,0.48,5,196,8,HUTG-016218
753604,"""La Talaia"" Holiday House - BBQ-Pool-WiFi",3964191,Oscar,,Lloret de Mar,41.71799850463867,2.864931106567383,Private room,274,5,93,2024-09-02,0.65,7,39,4,ESHFTU000017013000528955003000000000000000LLG-0000105
766763,Modern Villa with spectacular view and a pool,4043268,Fabien,,Begur,41.9618,3.22489,Entire home/apt,569,5,31,2025-06-28,0.28,2,97,5,HUTG-043628
784892,La Cerdanya. Queixans,4073860,Silvia,,Fontanals de Cerdanya,42.39611,1.91888,Entire home/apt,160,28,0,,,1,172,0,Exempt
791845,La Caseta de fang - Casa eco en Costa Brava. Rupià,1023612,Mercè,,Rupià,42.01708,3.01064,Entire home/apt,164,5,36,2024-08-23,0.24,2,67,1,HUTG-011718
794265,Casa St. Antoni Calonge piscina jardin a 50m playa,4192751,Xenia,,Calonge,41.84256,3.09245,Entire home/apt,196,2,31,2024-09-08,0.31,1,322,5,HUTG-015555
809104,Costabravaforrent Segalar 3,4208003,,,Albons,42.10369,3.0823,Entire home/apt,181,1,6,2022-07-17,0.04,20,55,0,HUTG-003712
