id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44085,Villa in Addaia great sea view and fun pool,193043,Manuela,,Es Mercadal,40.00974,4.19958,Entire home/apt,360,5,23,2025-09-12,0.14,2,147,2,ET3036ME
102558,appartment in Menorca -Cala Galdana,536023,Yolanda,,Ciutadella de Menorca,39.9434,3.9613,Entire home/apt,55,2,80,2025-09-07,0.46,1,343,15,ESFCTU00000700700001465800000000000000000000ET2253ME3
294398,Son Esquella - Charming Menorca,312145,Sol,,Alaior,39.89082,4.11595,Entire home/apt,,32,11,2019-09-08,0.09,3,0,0,
295705,The Most Perfect Villa in Menorca!,312145,Sol,,Alaior,39.89028,4.11476,Entire home/apt,,32,24,2022-05-30,0.15,3,0,0,
325641,BEAUTIFUL VILLA IN A VIRGIN BEACH,1492975,Pili,,Mahón,39.83781,4.19504,Entire home/apt,158,5,42,2023-08-24,0.28,1,135,0,
357026,Coqueto apartamento Son Bou Menorca + Rent our car,1740878,Emilio,,Alaior,39.90443420410156,4.0712571144104,Entire home/apt,75,5,85,2025-05-25,0.53,1,265,6,
358378,MENORCA APARTMENT SON BOU BEACH,1807049,Miguel Angel,,Alaior,39.90183,4.07595,Entire home/apt,60,5,106,2025-08-19,0.79,1,6,12,ESFCTU00000701300009345600000000000000000000552/19854
366358,"Nature Farmhouse, Private Pool, Sea Access & Cook",1849697,Alessandro,,Ciutadella de Menorca,40.03581,3.96544,Entire home/apt,595,5,46,2025-09-07,0.28,1,272,2,ET 1646 ME
366636,Apartamento en Son Bou Menorca a 300 m. de playa,1851146,Carmen,,Alaior,39.90128,4.07565,Entire home/apt,149,7,39,2025-09-17,0.26,1,270,7,
372756,Beautiful Farm House in Menorca!!!!,312145,Sol,,Alaior,39.87626,4.13161,Entire home/apt,,32,1,2012-08-16,0.01,3,0,0,
425853,"Peaceful, comfortable apartment with sea views",2117118,Jonathan,,Es Mercadal,40.048770904541016,4.109414100646973,Entire home/apt,95,5,114,2025-09-18,0.70,1,16,10,ET 3015 ME
434190,Ideal para parejas,2155055,María Isabel,,Ciutadella de Menorca,39.92443,3.82661,Entire home/apt,80,4,105,2025-09-26,0.65,1,325,15,ESFCTU00000700700016555800000000000000000000ET2871ME5
494480,Nice appartment in front of a beach,715601,Jose Luis,,Ciutadella de Menorca,39.99876,3.79916,Entire home/apt,56,2,57,2025-07-28,0.39,3,75,4,ESFCTU00000700700028113500000000000000000000ET2739ME8
517301,Preciosa casa en el campo con aire acondicionado,2546568,Paqui,,Mahón,39.93384,4.24331,Entire home/apt,190,7,96,2025-09-16,0.60,2,166,13,ET 0275 ME
518633,Rustic farmhouse,1273331,Anne,,Es Castell,39.85917,4.29107,Entire home/apt,430,6,11,2025-08-24,0.07,1,180,4,ET0758ME
545844,Front line townhouse on Arenal d’en Castell beach,2684640,María José,,Es Mercadal,40.02113,4.18331,Entire home/apt,217,6,78,2025-09-03,0.52,1,348,7,ESFCTU00000701300000100000000000000000000000ET2222ME3
549304,Casa Centro Ciutadella Menorca,2700491,Angeles,,Ciutadella de Menorca,40.00433,3.83811,Entire home/apt,157,5,168,2025-09-25,1.05,1,143,17,ESFCTU00000700700023405600000000000000000000ET1126ME7
725695,Country House in Menorca. Son Costa,3753883,Natalia,,Alaior,39.89326532307656,4.175253865156066,Entire home/apt,522,2,71,2025-09-15,0.53,1,84,12,
854050,VILLA SAVANNA CIUTADELLA DE MENORCA,4459815,Jesus,,Ciutadella de Menorca,40.00474,3.80502,Entire home/apt,310,3,28,2025-08-01,0.21,2,356,2,VT/696/ME
854051,villa savanna menorca,4459815,Jesus,,Ciutadella de Menorca,40.00415,3.80636,Entire home/apt,,3,7,2025-08-25,0.05,2,356,1,VT/696/ME
932244,"Camera con bagno privato - ""La rossa""",5013601,Alessandro,,Es Mercadal,40.00418,4.19386,Private room,55,5,145,2025-09-21,0.98,4,0,6,ESFCTU00000701300000207600000000000000000000ET2243ME9
932315,"Camera con bagno privato - ""La verde""",5013601,Alessandro,,Es Mercadal,40.00604,4.19294,Private room,55,5,141,2025-09-07,0.95,4,0,7,ESFCTU00000701300000207600000000000000000000ET2249ME9
954903,ALQUILO CASA CAMPO CON PISCINA,5186207,Francisco,,Mahón,39.87655,4.26061,Entire home/apt,330,7,1,2025-08-09,0.57,2,289,1,ESFCTU00000701300012120300000000000000000000ET0338ME1
965059,"""La Buganvilla"" Casa Independiente en Menorca",5261775,Soledad,,Sant Lluís,39.81873,4.24766,Entire home/apt,290,8,4,2025-08-13,0.05,1,175,1,
967834,TOWN HOUSE WITH PRIVATE POOL,5719722,Roser,,Ciutadella de Menorca,39.99783,3.84152,Entire home/apt,185,2,248,2025-09-15,1.69,1,292,39,ESFCTU00000700700012953600000000000000000000ET1239ME0
976380,Apartamento Binibeca Nou E Camí de Cavalls,5342587,Willy Y Yago,,Sant Lluís,39.82241,4.24793,Entire home/apt,100,7,158,2025-09-02,1.06,3,161,10,ESFCTU00000701300067710600000000000000000000ET2870ME2
