id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
100953,Villa Etxe Gorria (Room 2) Biarritz center,529684,Suliane,Biarritz,Biarritz,43.47871,-1.55767,Private room,145,1,37,2024-08-24,0.25,5,174,3,
111027,Villa Etxe Gorria (Room 4) Biarritz center,529684,Suliane,Biarritz,Biarritz,43.47943,-1.55916,Private room,120,1,115,2025-06-22,0.68,5,158,14,
209295,This sunny 2bedrooms flat is yours!,1031250,Laurence,Biarritz,Biarritz,43.47887,-1.54527,Entire home/apt,,5,19,2024-08-14,0.12,1,0,1,64122002929DA
327264,Villa de la Corniche on the Basque Coast,1673093,Sonia,Hendaye,Urrugne,43.37056,-1.72667,Entire home/apt,428,4,64,2025-06-21,0.40,1,180,11,6454500065969
352381,[DeepCleaned]  ★ 2BR duplex ★ near BEACH & FOREST,1784503,Eric,Anglet,Anglet,43.501858,-1.512803,Entire home/apt,,2,54,2025-06-01,0.58,6,0,1,640240001849D
356862,"Guethary, facing the ocean , duplex",1806320,Lili,Saint-Jean-de-Luz,GuÃ©thary,43.42512,-1.60948,Entire home/apt,200,7,25,2025-05-01,0.18,1,120,3,64249000100F2
368497,Nice house very closed to the beautiful beach,1860152,Daniel,Biarritz,Biarritz,43.47581,-1.56473,Entire home/apt,275,2,99,2025-06-01,0.61,1,150,7,64122172724RS
467058,FLAT IN SAINT JEAN DE LUZ 4 PERSONS,2319191,Gene,Saint-Jean-de-Luz,Saint-Jean-de-Luz,43.38847,-1.66194,Entire home/apt,95,4,243,2025-06-27,1.52,1,294,15,64483001359FC
488614,Apartamento acogedor y luminoso en  Hendaya,2417648,Ascen,Hendaye,Hendaye,43.36049,-1.7728,Entire home/apt,90,4,59,2025-06-24,0.41,1,207,7,6426000130468
507979,On the riverbanks of l'Adour,2503298,Marion,Bayonne,Bayonne,43.49455,-1.4705,Entire home/apt,85,5,56,2025-06-01,0.39,1,312,10,64102001554EE
514652,2-bedroom  flat in central Biarritz,1547905,Regine,Biarritz,Biarritz,43.48067,-1.55336,Entire home/apt,80,7,97,2024-05-03,0.61,1,286,0,64122002367A1
587663,Villa Etxe Gorria (Room 1) Biarritz center,529684,Suliane,Biarritz,Biarritz,43.47922,-1.55907,Private room,145,1,48,2025-06-23,0.30,5,168,3,
587736,Villa Etxe Gorria (Room 3) Biarritz center,529684,Suliane,Biarritz,Biarritz,43.48016,-1.55796,Private room,120,2,146,2025-06-18,0.94,5,167,7,
587756,Etxe Gorria (Room 5) Biarritz center,529684,Suliane,Biarritz,Biarritz,43.4792,-1.55941,Private room,119,1,82,2025-06-18,0.56,5,173,11,
626489,Villa Basque near Bayonne Biarritz,3109965,Bernard,Saint-Pierre-d'Irube,Lahonce,43.48573,-1.40149,Entire home/apt,300,6,9,2023-07-30,0.07,1,178,0,64304000016C8
661562,Flat Bayonne historical center,2361360,Marguerite,Bayonne,Bayonne,43.49033,-1.47896,Entire home/apt,150,6,73,2025-04-18,0.47,1,186,8,641020009723D
664467,Bel appartement à 100 m de la plage,3357149,Marie,Saint-Jean-de-Luz,Saint-Jean-de-Luz,43.38738,-1.66062,Entire home/apt,,6,85,2023-08-19,0.57,2,0,0,64483220077MT
680185,BIARRITZ - 200 M FROM THE BEACH,3462574,Monique,Biarritz,Biarritz,43.48486,-1.55405,Entire home/apt,41,3,281,2023-12-04,1.81,3,1,0,6412200082971
732199,BIARRITZ APPART CAP SAINT MARTIN FACE A l'OCEAN,3811485,Marie Helene,Biarritz,Biarritz,43.4896,-1.55032,Entire home/apt,216,4,11,2024-08-10,0.15,1,348,1,64122172449RS
738388,studio plage quartier recherché,3809993,Frédérique,Biarritz,Biarritz,43.48517,-1.54812,Entire home/apt,50,4,127,2023-11-03,0.84,3,147,0,64122172629WS
739301,BIARRITZ CENTER : WONDERFUL HOUSE,3866257,Pierre,Biarritz,Biarritz,43.48876,-1.54601,Entire home/apt,222,3,6,2023-11-04,0.07,1,201,0,6412200268105
744138,"Studio classé, centre- ville, plage à 30m, piscine",3899844,Anne Marie,Biarritz,Biarritz,43.48264,-1.55814,Entire home/apt,72,7,102,2025-06-03,0.89,1,293,20,64122182647RM
755161,"Maison vue sur mer, 100 m²",3973708,Alexandra,Biarritz,Biarritz,43.4719,-1.56895,Entire home/apt,200,2,26,2024-08-26,0.23,2,325,3,641220022114B
770850,T2 bis quartier résidentiel Bayonne,4065779,Maryse,Bayonne,Bayonne,43.48432,-1.49745,Entire home/apt,80,365,14,2020-08-22,0.10,1,365,0,
781465,Biarritz centre appartement lumineux 70 m2,4121972,Thérèse,Biarritz,Biarritz,43.48224,-1.55316,Entire home/apt,,7,7,2025-05-03,0.09,1,270,1,64122181557QJ
787080,itxassou between sea and mountains,4146742,Marie Noelle,Espelette,Itxassou,43.33575,-1.42018,Entire home/apt,56,3,131,2025-06-09,0.86,2,269,19,
788451,Duplex de charme à Biarritz,4155851,Marie,Biarritz,Biarritz,43.47134,-1.55914,Entire home/apt,65,5,195,2025-06-17,1.28,1,25,12,64122002574D5
790578,Cosy & Bright : 100 m2 sea glimpse 5 mins center,4165545,Vanessa,Biarritz,Biarritz,43.47603,-1.55618,Entire home/apt,240,6,57,2025-04-26,0.39,1,37,9,64122003125CC
793158,T2 Anglet proche de toutes les plages,4179343,Isabelle,Anglet,Anglet,43.49628,-1.5346,Entire home/apt,70,3,63,2024-08-26,0.43,3,3,13,64024001503FB
806989,Gite Errekaldea,4247469,Serge,Saint-Jean-Pied-de-Port,Uhart-Cize,43.16763,-1.24795,Entire home/apt,50,3,110,2025-05-18,1.13,1,285,18,
