id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48154,Precioso apartamento con wifi,219476,Antonio,LA SAIDIA,MORVEDRE,39.48375,-0.37502,Entire home/apt,83,3,197,2025-09-15,1.08,4,150,26,VT-41540-V
137143,PENTHOUSE  ON FRONT LINE BEACH,670775,Maria De La Piedad,POBLATS DEL SUD,EL SALER,39.36335,-0.31932,Entire home/apt,390,10,1,2013-07-02,0.01,5,20,0,VT32745V
149715,1900 Style Valencian Beach  Home for 10px,5947,Susana Barbara,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46746,-0.32813,Entire home/apt,245,2,313,2025-09-15,1.81,1,287,41,ESFCTU000046025000580569000000000000000000VT-36469-V8
165971,★ Architectural touch! ★,791187,Inés,EXTRAMURS,LA ROQUETA,39.4679,-0.38206,Entire home/apt,124,5,576,2025-09-03,3.34,8,106,46,VT-32757-V
182221,Apartments Calatrava City Valencia,1315567,Chiara,CAMINS AL GRAU,AIORA,39.46343,-0.34325,Entire home/apt,137,3,9,2025-03-17,0.07,1,176,1,VT-38755-V
193326,Habitación balcón cerca de playa y universidades,937597,Noelia,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47299020968316,-0.3289203845922382,Private room,56,1,392,2025-09-07,2.31,2,161,51,ESHFNT00004602500038211800200000000000000000000000006
225070,Habitación cerca de la playa y universidades,937597,Noelia,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47149687619153,-0.33118405978463883,Private room,48,1,278,2025-09-02,1.65,2,160,31,ESHFNT00004602500038211800200000000000000000000000007
252608,Apartamento privilegiado en el corazón de Valencia,1326001,Mariano,CIUTAT VELLA,LA XEREA,39.47396,-0.37405,Entire home/apt,80,31,4,2021-08-27,0.02,1,88,0,
253764,Sea view apartment with terrace at Cabanyal beach,1332880,Jaime Jorge,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.466515,-0.325345,Entire home/apt,,3,76,2025-08-31,0.46,2,1,12,CV-VUT0033846-V
260929,Queen size bed & private bathroom by Miguel Inn,140702,Miguel,EL PLA DEL REAL,EXPOSICIO,39.47507,-0.36296,Private room,53,1,172,2025-09-09,1.14,3,45,27,
260935,"Double room, shared bathroom, good water",140702,Miguel,EL PLA DEL REAL,EXPOSICIO,39.47505,-0.36282,Private room,46,1,485,2025-08-27,3.00,3,61,14,
273373,"Malvabeach family house, WiFi, pool, front beach",1387923,Pilar,POBLATS MARITIMS,LA MALVA-ROSA,39.48183,-0.32578,Entire home/apt,397,3,154,2025-09-13,0.95,5,330,20,AT-33952-V
276455,"Great Room in an apartment,Valencia",1444357,Alberto,ALGIROS,LA CARRASCA,39.47317,-0.33932,Private room,,2,0,,,1,0,0,
